0.level	 Min Weight: 474,789 	Average :479,941
1.level	 Min Weight: 474,789 	Average :480,329
2.level	 Min Weight: 474,789 	Average :479,020
3.level	 Min Weight: 474,789 	Average :478,114
4.level	 Min Weight: 474,789 	Average :477,544
5.level	 Min Weight: 474,649 	Average :476,586
6.level	 Min Weight: 474,544 	Average :475,668
7.level	 Min Weight: 474,298 	Average :475,104
8.level	 Min Weight: 474,022 	Average :474,748
9.level	 Min Weight: 473,646 	Average :474,495
10.level	 Min Weight: 473,350 	Average :474,231
11.level	 Min Weight: 473,004 	Average :474,048
12.level	 Min Weight: 472,999 	Average :473,585
13.level	 Min Weight: 472,072 	Average :473,189
14.level	 Min Weight: 472,067 	Average :473,218
15.level	 Min Weight: 471,560 	Average :472,710
16.level	 Min Weight: 471,555 	Average :472,480
17.level	 Min Weight: 471,249 	Average :472,179
18.level	 Min Weight: 471,089 	Average :471,909
19.level	 Min Weight: 470,557 	Average :471,591
20.level	 Min Weight: 470,417 	Average :471,170
21.level	 Min Weight: 469,735 	Average :470,731
22.level	 Min Weight: 469,735 	Average :470,486
23.level	 Min Weight: 468,952 	Average :470,361
24.level	 Min Weight: 469,022 	Average :469,968
25.level	 Min Weight: 468,782 	Average :469,735
26.level	 Min Weight: 468,601 	Average :469,511
27.level	 Min Weight: 468,120 	Average :469,213
28.level	 Min Weight: 468,010 	Average :468,916
29.level	 Min Weight: 466,906 	Average :468,680
30.level	 Min Weight: 466,114 	Average :468,435
31.level	 Min Weight: 465,703 	Average :468,082
32.level	 Min Weight: 465,321 	Average :467,700
33.level	 Min Weight: 464,980 	Average :467,262
34.level	 Min Weight: 465,321 	Average :466,880
35.level	 Min Weight: 464,750 	Average :466,515
36.level	 Min Weight: 463,777 	Average :466,090
37.level	 Min Weight: 463,777 	Average :465,895
38.level	 Min Weight: 463,777 	Average :465,140
39.level	 Min Weight: 463,777 	Average :464,890
40.level	 Min Weight: 463,145 	Average :464,497
41.level	 Min Weight: 463,145 	Average :464,255
42.level	 Min Weight: 462,858 	Average :464,027
43.level	 Min Weight: 462,848 	Average :463,933
44.level	 Min Weight: 462,046 	Average :463,305
45.level	 Min Weight: 461,408 	Average :462,849
46.level	 Min Weight: 461,406 	Average :462,500
47.level	 Min Weight: 461,273 	Average :462,069
48.level	 Min Weight: 461,402 	Average :462,143
49.level	 Min Weight: 460,808 	Average :462,007
50.level	 Min Weight: 460,405 	Average :461,395
51.level	 Min Weight: 459,951 	Average :461,302
52.level	 Min Weight: 459,949 	Average :460,774
53.level	 Min Weight: 459,817 	Average :460,794
54.level	 Min Weight: 459,243 	Average :460,797
55.level	 Min Weight: 459,241 	Average :459,993
56.level	 Min Weight: 459,239 	Average :460,052
57.level	 Min Weight: 458,605 	Average :459,683
58.level	 Min Weight: 458,603 	Average :459,253
59.level	 Min Weight: 458,280 	Average :459,278
60.level	 Min Weight: 458,240 	Average :459,193
61.level	 Min Weight: 458,110 	Average :458,324
62.level	 Min Weight: 457,839 	Average :458,132
63.level	 Min Weight: 457,809 	Average :458,896
64.level	 Min Weight: 457,389 	Average :457,953
65.level	 Min Weight: 457,387 	Average :457,418
66.level	 Min Weight: 457,295 	Average :457,670
67.level	 Min Weight: 456,530 	Average :457,629
68.level	 Min Weight: 456,448 	Average :458,038
69.level	 Min Weight: 456,446 	Average :456,956
70.level	 Min Weight: 456,444 	Average :456,578
71.level	 Min Weight: 455,900 	Average :457,437
72.level	 Min Weight: 455,327 	Average :456,514
73.level	 Min Weight: 454,954 	Average :456,757
74.level	 Min Weight: 454,430 	Average :456,131
75.level	 Min Weight: 454,390 	Average :455,940
76.level	 Min Weight: 453,527 	Average :455,346
77.level	 Min Weight: 453,527 	Average :455,183
78.level	 Min Weight: 453,527 	Average :455,637
79.level	 Min Weight: 453,247 	Average :455,412
80.level	 Min Weight: 453,245 	Average :454,235
81.level	 Min Weight: 452,721 	Average :454,466
82.level	 Min Weight: 453,241 	Average :453,325
83.level	 Min Weight: 452,717 	Average :453,488
84.level	 Min Weight: 452,234 	Average :453,255
85.level	 Min Weight: 452,161 	Average :453,367
86.level	 Min Weight: 451,772 	Average :452,750
87.level	 Min Weight: 451,772 	Average :453,111
88.level	 Min Weight: 450,970 	Average :451,862
89.level	 Min Weight: 450,970 	Average :452,983
90.level	 Min Weight: 450,206 	Average :452,008
91.level	 Min Weight: 450,204 	Average :451,932
92.level	 Min Weight: 449,650 	Average :451,307
93.level	 Min Weight: 449,648 	Average :451,156
94.level	 Min Weight: 449,646 	Average :451,173
95.level	 Min Weight: 449,644 	Average :450,314
96.level	 Min Weight: 449,261 	Average :450,594
97.level	 Min Weight: 448,717 	Average :450,209
98.level	 Min Weight: 448,715 	Average :449,346
99.level	 Min Weight: 448,713 	Average :449,806

Minimum Weighted Vertex : 448,713
General Average : 462,8308404
