0.level	 Min Weight: 473,810 	Average :480,140
1.level	 Min Weight: 473,810 	Average :479,157
2.level	 Min Weight: 473,080 	Average :478,693
3.level	 Min Weight: 473,080 	Average :478,084
4.level	 Min Weight: 472,510 	Average :477,122
5.level	 Min Weight: 472,130 	Average :475,885
6.level	 Min Weight: 472,130 	Average :474,631
7.level	 Min Weight: 471,680 	Average :473,574
8.level	 Min Weight: 471,000 	Average :472,613
9.level	 Min Weight: 470,780 	Average :471,805
10.level	 Min Weight: 471,050 	Average :471,586
11.level	 Min Weight: 470,690 	Average :471,430
12.level	 Min Weight: 470,440 	Average :471,266
13.level	 Min Weight: 470,050 	Average :470,865
14.level	 Min Weight: 470,050 	Average :470,552
15.level	 Min Weight: 470,050 	Average :470,352
16.level	 Min Weight: 469,410 	Average :470,274
17.level	 Min Weight: 468,620 	Average :469,872
18.level	 Min Weight: 468,610 	Average :469,789
19.level	 Min Weight: 468,480 	Average :469,388
20.level	 Min Weight: 468,420 	Average :469,046
21.level	 Min Weight: 467,710 	Average :468,622
22.level	 Min Weight: 467,800 	Average :468,657
23.level	 Min Weight: 467,400 	Average :468,069
24.level	 Min Weight: 467,770 	Average :468,420
25.level	 Min Weight: 467,770 	Average :468,195
26.level	 Min Weight: 467,270 	Average :468,069
27.level	 Min Weight: 467,270 	Average :467,696
28.level	 Min Weight: 467,130 	Average :467,615
29.level	 Min Weight: 466,850 	Average :467,378
30.level	 Min Weight: 466,510 	Average :467,247
31.level	 Min Weight: 466,210 	Average :466,988
32.level	 Min Weight: 466,210 	Average :467,114
33.level	 Min Weight: 466,210 	Average :466,675
34.level	 Min Weight: 466,080 	Average :466,715
35.level	 Min Weight: 465,970 	Average :466,598
36.level	 Min Weight: 465,970 	Average :466,308
37.level	 Min Weight: 465,600 	Average :466,604
38.level	 Min Weight: 464,870 	Average :465,985
39.level	 Min Weight: 464,520 	Average :465,767
40.level	 Min Weight: 464,520 	Average :466,086
41.level	 Min Weight: 464,760 	Average :466,025
42.level	 Min Weight: 464,760 	Average :465,428
43.level	 Min Weight: 464,080 	Average :465,291
44.level	 Min Weight: 463,750 	Average :465,226
45.level	 Min Weight: 463,750 	Average :464,764
46.level	 Min Weight: 463,750 	Average :464,556
47.level	 Min Weight: 463,750 	Average :464,097
48.level	 Min Weight: 463,720 	Average :464,294
49.level	 Min Weight: 463,600 	Average :463,288
50.level	 Min Weight: 463,600 	Average :463,869
51.level	 Min Weight: 463,550 	Average :463,640
52.level	 Min Weight: 463,500 	Average :463,603
53.level	 Min Weight: 463,060 	Average :463,323
54.level	 Min Weight: 463,010 	Average :463,191
55.level	 Min Weight: 463,010 	Average :463,261
56.level	 Min Weight: 462,260 	Average :463,487
57.level	 Min Weight: 462,260 	Average :462,858
58.level	 Min Weight: 462,260 	Average :463,350
59.level	 Min Weight: 462,260 	Average :463,004
60.level	 Min Weight: 462,260 	Average :463,025
61.level	 Min Weight: 462,200 	Average :463,199
62.level	 Min Weight: 462,050 	Average :462,594
63.level	 Min Weight: 462,050 	Average :462,499
64.level	 Min Weight: 462,100 	Average :463,056
65.level	 Min Weight: 462,100 	Average :461,726
66.level	 Min Weight: 462,100 	Average :462,674
67.level	 Min Weight: 461,890 	Average :462,185
68.level	 Min Weight: 461,890 	Average :461,708
69.level	 Min Weight: 461,680 	Average :462,212
70.level	 Min Weight: 461,680 	Average :461,977
71.level	 Min Weight: 461,890 	Average :462,035
72.level	 Min Weight: 461,220 	Average :462,027
73.level	 Min Weight: 461,460 	Average :461,597
74.level	 Min Weight: 461,440 	Average :462,003
75.level	 Min Weight: 461,440 	Average :461,933
76.level	 Min Weight: 461,340 	Average :461,513
77.level	 Min Weight: 461,240 	Average :461,565
78.level	 Min Weight: 461,240 	Average :461,941
79.level	 Min Weight: 461,130 	Average :461,608
80.level	 Min Weight: 460,900 	Average :461,597
81.level	 Min Weight: 460,280 	Average :461,607
82.level	 Min Weight: 459,730 	Average :461,135
83.level	 Min Weight: 459,907 	Average :461,826
84.level	 Min Weight: 459,900 	Average :460,818
85.level	 Min Weight: 458,920 	Average :461,247
86.level	 Min Weight: 459,450 	Average :460,386
87.level	 Min Weight: 458,920 	Average :460,447
88.level	 Min Weight: 458,920 	Average :460,239
89.level	 Min Weight: 458,020 	Average :460,113
90.level	 Min Weight: 458,020 	Average :459,610
91.level	 Min Weight: 458,020 	Average :459,262
92.level	 Min Weight: 458,020 	Average :459,003
93.level	 Min Weight: 457,930 	Average :459,061
94.level	 Min Weight: 457,930 	Average :458,310
95.level	 Min Weight: 457,930 	Average :459,452
96.level	 Min Weight: 457,530 	Average :458,206
97.level	 Min Weight: 457,100 	Average :458,394
98.level	 Min Weight: 457,590 	Average :458,504
99.level	 Min Weight: 457,590 	Average :458,157

Minimum Weighted Vertex : 457,100
General Average : 465,37938
