0.level	 Min Weight: 473,897 	Average :479,766
1.level	 Min Weight: 473,897 	Average :480,059
2.level	 Min Weight: 473,897 	Average :478,984
3.level	 Min Weight: 473,897 	Average :478,068
4.level	 Min Weight: 473,286 	Average :476,813
5.level	 Min Weight: 473,286 	Average :475,569
6.level	 Min Weight: 473,286 	Average :474,437
7.level	 Min Weight: 473,286 	Average :473,414
8.level	 Min Weight: 473,286 	Average :473,227
9.level	 Min Weight: 473,286 	Average :473,128
10.level	 Min Weight: 473,286 	Average :473,116
11.level	 Min Weight: 473,286 	Average :473,037
12.level	 Min Weight: 473,286 	Average :472,931
13.level	 Min Weight: 473,286 	Average :472,711
14.level	 Min Weight: 473,286 	Average :472,534
15.level	 Min Weight: 473,286 	Average :472,493
16.level	 Min Weight: 473,286 	Average :472,488
17.level	 Min Weight: 473,286 	Average :472,473
18.level	 Min Weight: 473,286 	Average :472,473
19.level	 Min Weight: 473,286 	Average :472,473
20.level	 Min Weight: 473,286 	Average :472,473
21.level	 Min Weight: 473,286 	Average :472,473
22.level	 Min Weight: 473,286 	Average :472,473
23.level	 Min Weight: 473,286 	Average :472,474
24.level	 Min Weight: 473,005 	Average :472,480
25.level	 Min Weight: 472,393 	Average :472,473
26.level	 Min Weight: 472,393 	Average :472,487
27.level	 Min Weight: 472,393 	Average :472,472
28.level	 Min Weight: 472,393 	Average :472,379
29.level	 Min Weight: 472,393 	Average :472,471
30.level	 Min Weight: 472,112 	Average :472,342
31.level	 Min Weight: 472,112 	Average :472,040
32.level	 Min Weight: 472,112 	Average :471,769
33.level	 Min Weight: 472,112 	Average :471,572
34.level	 Min Weight: 472,112 	Average :471,545
35.level	 Min Weight: 472,112 	Average :471,536
36.level	 Min Weight: 472,112 	Average :471,489
37.level	 Min Weight: 472,112 	Average :471,431
38.level	 Min Weight: 472,112 	Average :471,347
39.level	 Min Weight: 472,112 	Average :471,278
40.level	 Min Weight: 472,112 	Average :471,272
41.level	 Min Weight: 472,112 	Average :471,272
42.level	 Min Weight: 472,112 	Average :471,286
43.level	 Min Weight: 472,112 	Average :471,290
44.level	 Min Weight: 471,380 	Average :471,284
45.level	 Min Weight: 471,380 	Average :471,271
46.level	 Min Weight: 471,380 	Average :471,287
47.level	 Min Weight: 471,380 	Average :471,293
48.level	 Min Weight: 471,380 	Average :471,269
49.level	 Min Weight: 471,380 	Average :471,203
50.level	 Min Weight: 471,380 	Average :471,235
51.level	 Min Weight: 471,380 	Average :471,147
52.level	 Min Weight: 471,380 	Average :470,889
53.level	 Min Weight: 471,380 	Average :470,727
54.level	 Min Weight: 471,380 	Average :470,567
55.level	 Min Weight: 471,380 	Average :470,529
56.level	 Min Weight: 471,380 	Average :470,529
57.level	 Min Weight: 470,989 	Average :470,525
58.level	 Min Weight: 470,989 	Average :470,531
59.level	 Min Weight: 470,989 	Average :470,527
60.level	 Min Weight: 470,989 	Average :470,504
61.level	 Min Weight: 470,618 	Average :470,519
62.level	 Min Weight: 470,618 	Average :470,491
63.level	 Min Weight: 470,618 	Average :470,421
64.level	 Min Weight: 470,618 	Average :470,286
65.level	 Min Weight: 470,618 	Average :470,179
66.level	 Min Weight: 470,618 	Average :470,109
67.level	 Min Weight: 470,397 	Average :470,117
68.level	 Min Weight: 470,397 	Average :470,063
69.level	 Min Weight: 470,397 	Average :469,943
70.level	 Min Weight: 470,397 	Average :469,819
71.level	 Min Weight: 470,397 	Average :469,725
72.level	 Min Weight: 470,397 	Average :469,702
73.level	 Min Weight: 470,397 	Average :469,632
74.level	 Min Weight: 470,397 	Average :469,547
75.level	 Min Weight: 470,397 	Average :469,505
76.level	 Min Weight: 470,397 	Average :469,501
77.level	 Min Weight: 470,397 	Average :469,501
78.level	 Min Weight: 470,397 	Average :469,501
79.level	 Min Weight: 470,397 	Average :469,493
80.level	 Min Weight: 470,397 	Average :469,515
81.level	 Min Weight: 470,397 	Average :469,497
82.level	 Min Weight: 470,397 	Average :469,495
83.level	 Min Weight: 470,397 	Average :469,493
84.level	 Min Weight: 470,397 	Average :469,487
85.level	 Min Weight: 470,397 	Average :469,493
86.level	 Min Weight: 470,397 	Average :469,489
87.level	 Min Weight: 470,397 	Average :469,476
88.level	 Min Weight: 470,397 	Average :469,491
89.level	 Min Weight: 470,397 	Average :469,481
90.level	 Min Weight: 470,397 	Average :469,479
91.level	 Min Weight: 470,397 	Average :469,477
92.level	 Min Weight: 470,397 	Average :469,475
93.level	 Min Weight: 470,397 	Average :469,465
94.level	 Min Weight: 470,397 	Average :469,482
95.level	 Min Weight: 470,397 	Average :469,479
96.level	 Min Weight: 470,397 	Average :469,467
97.level	 Min Weight: 470,397 	Average :469,465
98.level	 Min Weight: 470,397 	Average :469,463
99.level	 Min Weight: 470,397 	Average :469,461

Minimum Weighted Vertex : 470,397
General Average : 471,3934364
