0.level	 Min Weight: 473,767 	Average :479,631
1.level	 Min Weight: 473,767 	Average :478,681
2.level	 Min Weight: 473,767 	Average :477,738
3.level	 Min Weight: 473,767 	Average :476,803
4.level	 Min Weight: 473,767 	Average :475,932
5.level	 Min Weight: 473,767 	Average :474,910
6.level	 Min Weight: 472,483 	Average :474,018
7.level	 Min Weight: 472,483 	Average :473,263
8.level	 Min Weight: 472,483 	Average :472,889
9.level	 Min Weight: 472,483 	Average :472,733
10.level	 Min Weight: 472,483 	Average :472,674
11.level	 Min Weight: 472,483 	Average :472,505
12.level	 Min Weight: 472,483 	Average :472,278
13.level	 Min Weight: 472,483 	Average :472,003
14.level	 Min Weight: 472,363 	Average :471,718
15.level	 Min Weight: 472,363 	Average :471,560
16.level	 Min Weight: 472,363 	Average :471,539
17.level	 Min Weight: 472,363 	Average :471,536
18.level	 Min Weight: 472,363 	Average :471,528
19.level	 Min Weight: 472,363 	Average :471,519
20.level	 Min Weight: 471,922 	Average :471,493
21.level	 Min Weight: 472,363 	Average :471,466
22.level	 Min Weight: 472,363 	Average :471,440
23.level	 Min Weight: 472,363 	Average :471,426
24.level	 Min Weight: 472,363 	Average :471,422
25.level	 Min Weight: 472,363 	Average :471,422
26.level	 Min Weight: 472,363 	Average :471,422
27.level	 Min Weight: 472,363 	Average :471,422
28.level	 Min Weight: 472,363 	Average :471,422
29.level	 Min Weight: 472,363 	Average :471,422
30.level	 Min Weight: 472,363 	Average :471,422
31.level	 Min Weight: 471,881 	Average :471,420
32.level	 Min Weight: 471,881 	Average :471,420
33.level	 Min Weight: 471,881 	Average :471,420
34.level	 Min Weight: 471,881 	Average :471,420
35.level	 Min Weight: 472,363 	Average :471,422
36.level	 Min Weight: 472,363 	Average :471,422
37.level	 Min Weight: 472,363 	Average :471,422
38.level	 Min Weight: 472,363 	Average :471,422
39.level	 Min Weight: 472,363 	Average :471,422
40.level	 Min Weight: 472,363 	Average :471,423
41.level	 Min Weight: 472,363 	Average :471,422
42.level	 Min Weight: 472,363 	Average :471,422
43.level	 Min Weight: 472,363 	Average :471,422
44.level	 Min Weight: 472,363 	Average :471,422
45.level	 Min Weight: 472,363 	Average :471,422
46.level	 Min Weight: 472,363 	Average :471,422
47.level	 Min Weight: 472,363 	Average :471,422
48.level	 Min Weight: 472,363 	Average :471,422
49.level	 Min Weight: 472,363 	Average :471,422
50.level	 Min Weight: 472,363 	Average :471,422
51.level	 Min Weight: 472,363 	Average :471,422
52.level	 Min Weight: 472,363 	Average :471,422
53.level	 Min Weight: 472,303 	Average :471,422
54.level	 Min Weight: 472,363 	Average :471,423
55.level	 Min Weight: 472,363 	Average :471,422
56.level	 Min Weight: 472,363 	Average :471,423
57.level	 Min Weight: 472,363 	Average :471,422
58.level	 Min Weight: 472,363 	Average :471,422
59.level	 Min Weight: 472,363 	Average :471,422
60.level	 Min Weight: 472,363 	Average :471,422
61.level	 Min Weight: 472,363 	Average :471,424
62.level	 Min Weight: 472,363 	Average :471,422
63.level	 Min Weight: 472,363 	Average :471,422
64.level	 Min Weight: 472,363 	Average :471,422
65.level	 Min Weight: 472,363 	Average :471,422
