0.level	 Min Weight: 474,138 	Average :480,114
1.level	 Min Weight: 474,138 	Average :480,002
2.level	 Min Weight: 474,138 	Average :479,264
3.level	 Min Weight: 474,138 	Average :478,412
4.level	 Min Weight: 474,138 	Average :477,666
5.level	 Min Weight: 473,857 	Average :476,628
6.level	 Min Weight: 473,617 	Average :475,483
7.level	 Min Weight: 473,306 	Average :474,331
8.level	 Min Weight: 473,306 	Average :473,876
9.level	 Min Weight: 473,135 	Average :473,540
10.level	 Min Weight: 473,005 	Average :473,340
11.level	 Min Weight: 472,594 	Average :473,231
12.level	 Min Weight: 472,594 	Average :473,030
13.level	 Min Weight: 472,022 	Average :472,807
14.level	 Min Weight: 472,022 	Average :472,724
15.level	 Min Weight: 472,022 	Average :472,564
16.level	 Min Weight: 471,661 	Average :472,408
17.level	 Min Weight: 471,560 	Average :472,242
18.level	 Min Weight: 471,169 	Average :472,059
19.level	 Min Weight: 471,069 	Average :471,839
20.level	 Min Weight: 471,069 	Average :471,584
21.level	 Min Weight: 470,277 	Average :471,301
22.level	 Min Weight: 470,457 	Average :471,141
23.level	 Min Weight: 469,575 	Average :470,913
24.level	 Min Weight: 469,575 	Average :470,780
25.level	 Min Weight: 469,575 	Average :470,520
26.level	 Min Weight: 469,575 	Average :470,233
27.level	 Min Weight: 469,464 	Average :470,155
28.level	 Min Weight: 468,993 	Average :469,877
29.level	 Min Weight: 468,913 	Average :469,578
30.level	 Min Weight: 468,832 	Average :469,237
31.level	 Min Weight: 468,582 	Average :469,276
32.level	 Min Weight: 468,321 	Average :468,918
33.level	 Min Weight: 467,970 	Average :468,840
34.level	 Min Weight: 467,809 	Average :468,503
35.level	 Min Weight: 466,044 	Average :468,398
36.level	 Min Weight: 466,044 	Average :468,005
37.level	 Min Weight: 467,378 	Average :467,836
38.level	 Min Weight: 467,338 	Average :467,582
39.level	 Min Weight: 467,338 	Average :467,280
40.level	 Min Weight: 466,726 	Average :467,264
41.level	 Min Weight: 466,726 	Average :467,115
42.level	 Min Weight: 466,796 	Average :466,838
43.level	 Min Weight: 466,636 	Average :466,975
44.level	 Min Weight: 466,385 	Average :466,769
45.level	 Min Weight: 466,275 	Average :466,464
46.level	 Min Weight: 466,014 	Average :466,395
47.level	 Min Weight: 465,853 	Average :466,215
48.level	 Min Weight: 465,081 	Average :466,049
49.level	 Min Weight: 465,643 	Average :465,861
50.level	 Min Weight: 464,880 	Average :465,754
51.level	 Min Weight: 464,670 	Average :465,516
52.level	 Min Weight: 464,108 	Average :465,435
53.level	 Min Weight: 464,229 	Average :465,162
54.level	 Min Weight: 464,229 	Average :465,208
55.level	 Min Weight: 463,998 	Average :464,974
56.level	 Min Weight: 463,366 	Average :464,667
57.level	 Min Weight: 463,998 	Average :464,757
58.level	 Min Weight: 463,787 	Average :464,314
59.level	 Min Weight: 463,787 	Average :464,198
60.level	 Min Weight: 463,667 	Average :464,056
61.level	 Min Weight: 463,165 	Average :463,646
62.level	 Min Weight: 463,005 	Average :463,664
63.level	 Min Weight: 462,453 	Average :463,382
64.level	 Min Weight: 462,122 	Average :463,092
65.level	 Min Weight: 462,122 	Average :463,148
66.level	 Min Weight: 462,122 	Average :462,986
67.level	 Min Weight: 461,761 	Average :462,600
68.level	 Min Weight: 461,230 	Average :462,474
69.level	 Min Weight: 461,230 	Average :462,028
70.level	 Min Weight: 461,230 	Average :461,798
71.level	 Min Weight: 461,230 	Average :461,803
72.level	 Min Weight: 461,230 	Average :461,973
73.level	 Min Weight: 460,868 	Average :461,285
74.level	 Min Weight: 460,848 	Average :461,198
75.level	 Min Weight: 460,568 	Average :460,940
76.level	 Min Weight: 460,337 	Average :461,044
77.level	 Min Weight: 460,447 	Average :460,410
78.level	 Min Weight: 460,397 	Average :460,507
79.level	 Min Weight: 460,116 	Average :460,200
80.level	 Min Weight: 460,116 	Average :460,090
81.level	 Min Weight: 460,056 	Average :460,111
82.level	 Min Weight: 459,835 	Average :460,030
83.level	 Min Weight: 459,835 	Average :459,803
84.level	 Min Weight: 459,224 	Average :459,829
85.level	 Min Weight: 459,224 	Average :459,402
86.level	 Min Weight: 459,224 	Average :459,373
87.level	 Min Weight: 459,113 	Average :459,254
88.level	 Min Weight: 458,762 	Average :459,067
89.level	 Min Weight: 458,762 	Average :459,248
90.level	 Min Weight: 458,471 	Average :458,842
91.level	 Min Weight: 458,642 	Average :458,711
92.level	 Min Weight: 458,481 	Average :458,704
93.level	 Min Weight: 457,870 	Average :458,306
94.level	 Min Weight: 457,569 	Average :458,231
95.level	 Min Weight: 457,569 	Average :457,933
96.level	 Min Weight: 457,569 	Average :458,029
97.level	 Min Weight: 457,569 	Average :457,788
98.level	 Min Weight: 457,157 	Average :457,566
99.level	 Min Weight: 457,157 	Average :457,310

Minimum Weighted Vertex : 457,157
General Average : 466,2130815
