0.level	 Min Weight: 473,630 	Average :480,494
1.level	 Min Weight: 473,630 	Average :478,687
2.level	 Min Weight: 473,630 	Average :477,950
3.level	 Min Weight: 473,630 	Average :477,328
4.level	 Min Weight: 473,630 	Average :476,228
5.level	 Min Weight: 473,340 	Average :475,073
6.level	 Min Weight: 473,340 	Average :474,183
7.level	 Min Weight: 472,950 	Average :474,051
8.level	 Min Weight: 472,950 	Average :473,937
9.level	 Min Weight: 472,950 	Average :473,865
10.level	 Min Weight: 472,950 	Average :473,752
11.level	 Min Weight: 472,660 	Average :473,748
12.level	 Min Weight: 472,660 	Average :473,729
13.level	 Min Weight: 472,660 	Average :473,662
14.level	 Min Weight: 472,660 	Average :473,578
15.level	 Min Weight: 472,660 	Average :473,519
16.level	 Min Weight: 472,660 	Average :473,490
17.level	 Min Weight: 472,660 	Average :473,505
18.level	 Min Weight: 472,660 	Average :473,488
19.level	 Min Weight: 472,660 	Average :473,466
20.level	 Min Weight: 472,660 	Average :473,308
21.level	 Min Weight: 472,660 	Average :473,026
22.level	 Min Weight: 472,660 	Average :472,882
23.level	 Min Weight: 472,660 	Average :472,812
24.level	 Min Weight: 472,660 	Average :472,810
25.level	 Min Weight: 472,660 	Average :472,810
26.level	 Min Weight: 472,660 	Average :472,810
27.level	 Min Weight: 472,660 	Average :472,810
28.level	 Min Weight: 472,660 	Average :472,810
29.level	 Min Weight: 472,660 	Average :472,810
30.level	 Min Weight: 472,660 	Average :472,810
31.level	 Min Weight: 472,660 	Average :472,810
32.level	 Min Weight: 472,660 	Average :472,810
33.level	 Min Weight: 472,660 	Average :472,810
34.level	 Min Weight: 472,660 	Average :472,810
35.level	 Min Weight: 472,660 	Average :472,810
36.level	 Min Weight: 472,660 	Average :472,810
37.level	 Min Weight: 472,660 	Average :472,810
38.level	 Min Weight: 472,660 	Average :472,810
39.level	 Min Weight: 472,660 	Average :472,810
40.level	 Min Weight: 472,660 	Average :472,812
41.level	 Min Weight: 472,480 	Average :472,772
42.level	 Min Weight: 472,660 	Average :472,776
43.level	 Min Weight: 472,420 	Average :472,780
44.level	 Min Weight: 472,420 	Average :472,771
45.level	 Min Weight: 472,420 	Average :472,768
46.level	 Min Weight: 472,420 	Average :472,756
47.level	 Min Weight: 472,420 	Average :472,734
48.level	 Min Weight: 472,420 	Average :472,744
49.level	 Min Weight: 472,420 	Average :472,678
50.level	 Min Weight: 471,890 	Average :472,546
51.level	 Min Weight: 472,420 	Average :472,532
52.level	 Min Weight: 471,420 	Average :472,498
53.level	 Min Weight: 471,420 	Average :472,512
54.level	 Min Weight: 471,420 	Average :472,466
55.level	 Min Weight: 471,420 	Average :472,518
56.level	 Min Weight: 471,420 	Average :472,507
57.level	 Min Weight: 471,420 	Average :472,502
58.level	 Min Weight: 471,420 	Average :472,452
59.level	 Min Weight: 471,420 	Average :472,360
60.level	 Min Weight: 471,420 	Average :472,191
61.level	 Min Weight: 471,420 	Average :471,858
62.level	 Min Weight: 471,420 	Average :471,540
63.level	 Min Weight: 471,420 	Average :471,500
64.level	 Min Weight: 471,420 	Average :471,491
65.level	 Min Weight: 471,420 	Average :471,489
66.level	 Min Weight: 471,420 	Average :471,487
67.level	 Min Weight: 471,420 	Average :471,485
68.level	 Min Weight: 471,420 	Average :471,483
69.level	 Min Weight: 471,420 	Average :471,481
70.level	 Min Weight: 471,420 	Average :471,479
71.level	 Min Weight: 471,420 	Average :471,477
72.level	 Min Weight: 471,420 	Average :471,475
73.level	 Min Weight: 471,420 	Average :471,473
74.level	 Min Weight: 471,420 	Average :471,478
75.level	 Min Weight: 470,730 	Average :471,468
76.level	 Min Weight: 470,730 	Average :471,448
77.level	 Min Weight: 470,730 	Average :471,425
78.level	 Min Weight: 470,730 	Average :471,449
79.level	 Min Weight: 470,730 	Average :471,456
80.level	 Min Weight: 470,730 	Average :471,421
81.level	 Min Weight: 470,730 	Average :471,503
82.level	 Min Weight: 470,730 	Average :471,414
83.level	 Min Weight: 470,730 	Average :471,203
84.level	 Min Weight: 470,730 	Average :471,125
85.level	 Min Weight: 470,730 	Average :470,823
86.level	 Min Weight: 470,730 	Average :470,751
87.level	 Min Weight: 470,730 	Average :470,751
88.level	 Min Weight: 470,730 	Average :470,751
89.level	 Min Weight: 470,730 	Average :470,751
90.level	 Min Weight: 470,730 	Average :470,749
91.level	 Min Weight: 470,730 	Average :470,753
92.level	 Min Weight: 470,120 	Average :470,739
93.level	 Min Weight: 470,120 	Average :470,749
94.level	 Min Weight: 470,120 	Average :470,723
95.level	 Min Weight: 470,120 	Average :470,727
96.level	 Min Weight: 470,120 	Average :470,713
97.level	 Min Weight: 470,120 	Average :470,717
98.level	 Min Weight: 470,120 	Average :470,716
99.level	 Min Weight: 470,120 	Average :470,688

Minimum Weighted Vertex : 470,270
General Average : 472,55605
