0.level	 Min Weight: 475,221 	Average :479,575
1.level	 Min Weight: 476,315 	Average :478,601
2.level	 Min Weight: 475,733 	Average :477,860
3.level	 Min Weight: 475,733 	Average :477,210
4.level	 Min Weight: 475,733 	Average :476,547
5.level	 Min Weight: 474,921 	Average :476,072
6.level	 Min Weight: 474,921 	Average :475,562
7.level	 Min Weight: 474,921 	Average :475,183
8.level	 Min Weight: 474,921 	Average :474,974
9.level	 Min Weight: 474,921 	Average :474,810
10.level	 Min Weight: 474,921 	Average :474,620
11.level	 Min Weight: 474,921 	Average :474,469
12.level	 Min Weight: 474,921 	Average :474,291
13.level	 Min Weight: 474,921 	Average :474,097
14.level	 Min Weight: 474,921 	Average :473,991
15.level	 Min Weight: 474,228 	Average :473,967
16.level	 Min Weight: 474,921 	Average :473,975
17.level	 Min Weight: 474,921 	Average :473,975
18.level	 Min Weight: 474,921 	Average :473,975
19.level	 Min Weight: 474,921 	Average :473,975
20.level	 Min Weight: 474,921 	Average :473,975
21.level	 Min Weight: 474,921 	Average :473,975
22.level	 Min Weight: 474,921 	Average :473,975
23.level	 Min Weight: 474,921 	Average :473,975
24.level	 Min Weight: 474,921 	Average :473,975
25.level	 Min Weight: 474,279 	Average :473,968
26.level	 Min Weight: 474,279 	Average :473,968
27.level	 Min Weight: 474,279 	Average :473,968
28.level	 Min Weight: 474,279 	Average :473,948
29.level	 Min Weight: 474,279 	Average :473,942
30.level	 Min Weight: 474,279 	Average :473,904
31.level	 Min Weight: 474,279 	Average :473,794
32.level	 Min Weight: 474,279 	Average :473,700
33.level	 Min Weight: 474,148 	Average :473,535
34.level	 Min Weight: 474,148 	Average :473,386
35.level	 Min Weight: 474,148 	Average :473,330
36.level	 Min Weight: 474,148 	Average :473,324
37.level	 Min Weight: 474,148 	Average :473,309
38.level	 Min Weight: 474,148 	Average :473,282
39.level	 Min Weight: 474,148 	Average :473,264
40.level	 Min Weight: 474,148 	Average :473,246
41.level	 Min Weight: 474,148 	Average :473,209
42.level	 Min Weight: 474,148 	Average :473,212
43.level	 Min Weight: 474,148 	Average :473,204
44.level	 Min Weight: 474,148 	Average :473,204
45.level	 Min Weight: 474,148 	Average :473,204
46.level	 Min Weight: 474,148 	Average :473,204
47.level	 Min Weight: 474,148 	Average :473,204
48.level	 Min Weight: 474,148 	Average :473,204
49.level	 Min Weight: 474,148 	Average :473,204
50.level	 Min Weight: 474,148 	Average :473,204
51.level	 Min Weight: 474,148 	Average :473,204
52.level	 Min Weight: 473,717 	Average :473,200
53.level	 Min Weight: 473,717 	Average :473,200
54.level	 Min Weight: 473,717 	Average :473,187
55.level	 Min Weight: 473,717 	Average :473,148
56.level	 Min Weight: 473,717 	Average :473,092
57.level	 Min Weight: 473,717 	Average :473,002
58.level	 Min Weight: 473,717 	Average :472,890
59.level	 Min Weight: 473,717 	Average :472,796
60.level	 Min Weight: 473,717 	Average :472,774
61.level	 Min Weight: 473,717 	Average :472,774
62.level	 Min Weight: 473,717 	Average :472,774
63.level	 Min Weight: 473,717 	Average :472,774
64.level	 Min Weight: 473,717 	Average :472,774
65.level	 Min Weight: 473,717 	Average :472,774
66.level	 Min Weight: 473,717 	Average :472,774
67.level	 Min Weight: 473,717 	Average :472,774
68.level	 Min Weight: 473,717 	Average :472,774
69.level	 Min Weight: 473,717 	Average :472,774
70.level	 Min Weight: 473,717 	Average :472,774
71.level	 Min Weight: 473,717 	Average :472,774
72.level	 Min Weight: 473,717 	Average :472,774
73.level	 Min Weight: 473,717 	Average :472,774
74.level	 Min Weight: 473,717 	Average :472,774
75.level	 Min Weight: 473,717 	Average :472,774
76.level	 Min Weight: 473,717 	Average :472,774
77.level	 Min Weight: 473,717 	Average :472,774
78.level	 Min Weight: 473,717 	Average :472,774
79.level	 Min Weight: 473,717 	Average :472,774
80.level	 Min Weight: 473,717 	Average :472,774
81.level	 Min Weight: 473,717 	Average :472,774
82.level	 Min Weight: 473,717 	Average :472,774
83.level	 Min Weight: 473,556 	Average :472,772
84.level	 Min Weight: 473,556 	Average :472,772
85.level	 Min Weight: 473,556 	Average :472,768
86.level	 Min Weight: 473,556 	Average :472,755
87.level	 Min Weight: 473,556 	Average :472,736
88.level	 Min Weight: 473,556 	Average :472,700
89.level	 Min Weight: 473,556 	Average :472,664
90.level	 Min Weight: 473,556 	Average :472,625
91.level	 Min Weight: 473,556 	Average :472,614
92.level	 Min Weight: 473,556 	Average :472,614
93.level	 Min Weight: 473,556 	Average :472,614
94.level	 Min Weight: 473,556 	Average :472,614
95.level	 Min Weight: 473,556 	Average :472,614
96.level	 Min Weight: 473,556 	Average :472,614
97.level	 Min Weight: 473,556 	Average :472,614
98.level	 Min Weight: 473,556 	Average :472,614
99.level	 Min Weight: 473,556 	Average :472,614
100.level	 Min Weight: 473,556 	Average :472,614
101.level	 Min Weight: 473,556 	Average :472,614
102.level	 Min Weight: 473,556 	Average :472,614
103.level	 Min Weight: 473,556 	Average :472,614
104.level	 Min Weight: 472,734 	Average :472,605
105.level	 Min Weight: 472,734 	Average :472,588
106.level	 Min Weight: 472,734 	Average :472,588
107.level	 Min Weight: 472,734 	Average :472,572
108.level	 Min Weight: 472,734 	Average :472,547
109.level	 Min Weight: 472,734 	Average :472,465
110.level	 Min Weight: 472,734 	Average :472,351
111.level	 Min Weight: 472,734 	Average :472,105
112.level	 Min Weight: 472,734 	Average :471,891
113.level	 Min Weight: 472,734 	Average :471,801
114.level	 Min Weight: 472,734 	Average :471,793
115.level	 Min Weight: 472,734 	Average :471,793
116.level	 Min Weight: 472,734 	Average :471,793
117.level	 Min Weight: 472,734 	Average :471,793
118.level	 Min Weight: 472,112 	Average :471,786
119.level	 Min Weight: 472,112 	Average :471,780
120.level	 Min Weight: 472,112 	Average :471,767
121.level	 Min Weight: 472,112 	Average :471,749
122.level	 Min Weight: 472,112 	Average :471,718
123.level	 Min Weight: 472,112 	Average :471,631
124.level	 Min Weight: 472,112 	Average :471,550
125.level	 Min Weight: 472,112 	Average :471,352
126.level	 Min Weight: 472,112 	Average :471,222
127.level	 Min Weight: 472,112 	Average :471,178
128.level	 Min Weight: 472,112 	Average :471,172
129.level	 Min Weight: 472,112 	Average :471,172
130.level	 Min Weight: 472,112 	Average :471,172
131.level	 Min Weight: 472,112 	Average :471,172
132.level	 Min Weight: 472,112 	Average :471,172
133.level	 Min Weight: 472,112 	Average :471,172
134.level	 Min Weight: 472,112 	Average :471,172
135.level	 Min Weight: 472,112 	Average :471,172
136.level	 Min Weight: 471,701 	Average :471,168
137.level	 Min Weight: 471,701 	Average :471,151
