0.level	 Min Weight: 553,897 	Average :565,414
1.level	 Min Weight: 553,897 	Average :565,082
2.level	 Min Weight: 553,897 	Average :564,344
3.level	 Min Weight: 553,897 	Average :563,492
4.level	 Min Weight: 553,286 	Average :562,745
5.level	 Min Weight: 553,286 	Average :561,707
6.level	 Min Weight: 553,286 	Average :560,562
7.level	 Min Weight: 553,286 	Average :559,411
8.level	 Min Weight: 553,286 	Average :558,956
9.level	 Min Weight: 553,286 	Average :558,620
10.level	 Min Weight: 553,286 	Average :558,420
11.level	 Min Weight: 553,286 	Average :558,311
12.level	 Min Weight: 553,286 	Average :558,110
13.level	 Min Weight: 553,286 	Average :557,888
14.level	 Min Weight: 553,286 	Average :557,805
15.level	 Min Weight: 553,286 	Average :557,645
16.level	 Min Weight: 553,286 	Average :557,489
17.level	 Min Weight: 553,286 	Average :557,323
18.level	 Min Weight: 553,286 	Average :557,141
19.level	 Min Weight: 553,286 	Average :556,921
20.level	 Min Weight: 553,286 	Average :556,666
21.level	 Min Weight: 553,286 	Average :556,384
22.level	 Min Weight: 553,286 	Average :556,224
23.level	 Min Weight: 553,286 	Average :555,996
24.level	 Min Weight: 553,005 	Average :555,863
25.level	 Min Weight: 552,393 	Average :555,602
26.level	 Min Weight: 552,393 	Average :555,315
27.level	 Min Weight: 552,393 	Average :555,238
28.level	 Min Weight: 552,393 	Average :554,960
29.level	 Min Weight: 552,393 	Average :554,661
30.level	 Min Weight: 552,112 	Average :554,320
31.level	 Min Weight: 552,112 	Average :554,359
32.level	 Min Weight: 552,112 	Average :554,002
33.level	 Min Weight: 552,112 	Average :553,924
34.level	 Min Weight: 552,112 	Average :553,587
35.level	 Min Weight: 552,112 	Average :553,484
36.level	 Min Weight: 552,112 	Average :553,091
37.level	 Min Weight: 552,112 	Average :552,921
38.level	 Min Weight: 552,112 	Average :552,667
39.level	 Min Weight: 552,112 	Average :552,365
40.level	 Min Weight: 552,112 	Average :552,349
41.level	 Min Weight: 552,112 	Average :552,200
42.level	 Min Weight: 552,112 	Average :551,923
43.level	 Min Weight: 552,112 	Average :552,060
44.level	 Min Weight: 551,380 	Average :551,854
45.level	 Min Weight: 551,380 	Average :551,549
46.level	 Min Weight: 551,380 	Average :551,480
47.level	 Min Weight: 551,380 	Average :551,300
48.level	 Min Weight: 551,380 	Average :551,135
49.level	 Min Weight: 551,380 	Average :550,946
50.level	 Min Weight: 551,380 	Average :550,840
51.level	 Min Weight: 551,380 	Average :550,602
52.level	 Min Weight: 551,380 	Average :550,522
53.level	 Min Weight: 551,380 	Average :550,249
54.level	 Min Weight: 551,380 	Average :550,295
55.level	 Min Weight: 551,380 	Average :550,061
56.level	 Min Weight: 551,380 	Average :549,755
57.level	 Min Weight: 550,989 	Average :549,844
58.level	 Min Weight: 550,989 	Average :549,401
59.level	 Min Weight: 550,989 	Average :549,285
60.level	 Min Weight: 550,989 	Average :549,143
61.level	 Min Weight: 550,618 	Average :548,734
62.level	 Min Weight: 550,618 	Average :548,752
63.level	 Min Weight: 550,618 	Average :548,471
64.level	 Min Weight: 550,618 	Average :548,181
65.level	 Min Weight: 550,618 	Average :548,237
66.level	 Min Weight: 550,618 	Average :548,075
67.level	 Min Weight: 550,397 	Average :547,688
68.level	 Min Weight: 550,397 	Average :547,563
69.level	 Min Weight: 550,397 	Average :547,117
70.level	 Min Weight: 550,397 	Average :546,887
71.level	 Min Weight: 550,397 	Average :546,892
72.level	 Min Weight: 550,397 	Average :547,062
73.level	 Min Weight: 550,397 	Average :546,374
74.level	 Min Weight: 550,397 	Average :546,287
75.level	 Min Weight: 550,397 	Average :546,029
76.level	 Min Weight: 550,397 	Average :546,134
77.level	 Min Weight: 550,397 	Average :545,500
78.level	 Min Weight: 550,397 	Average :545,597
79.level	 Min Weight: 550,397 	Average :545,290
80.level	 Min Weight: 550,397 	Average :545,180
81.level	 Min Weight: 550,397 	Average :545,201
82.level	 Min Weight: 550,397 	Average :545,120
83.level	 Min Weight: 550,397 	Average :544,893
84.level	 Min Weight: 550,397 	Average :544,920
85.level	 Min Weight: 550,397 	Average :544,493
86.level	 Min Weight: 550,397 	Average :544,464
87.level	 Min Weight: 550,397 	Average :544,345
88.level	 Min Weight: 550,397 	Average :544,158
89.level	 Min Weight: 550,397 	Average :544,339
90.level	 Min Weight: 550,397 	Average :543,934
91.level	 Min Weight: 550,397 	Average :543,802
92.level	 Min Weight: 550,397 	Average :543,796
93.level	 Min Weight: 550,397 	Average :543,398
94.level	 Min Weight: 550,397 	Average :543,323
95.level	 Min Weight: 550,397 	Average :543,025
96.level	 Min Weight: 550,397 	Average :543,121
97.level	 Min Weight: 550,397 	Average :542,880
98.level	 Min Weight: 550,397 	Average :542,659
99.level	 Min Weight: 550,397 	Average :542,403

Minimum Weighted Vertex : 550,397
General Average : 551,3015664
