0.level	 Min Weight: 554,489 	Average :565,241
1.level	 Min Weight: 554,489 	Average :565,408
2.level	 Min Weight: 554,489 	Average :564,099
3.level	 Min Weight: 554,489 	Average :563,193
4.level	 Min Weight: 554,489 	Average :562,623
5.level	 Min Weight: 554,349 	Average :561,665
6.level	 Min Weight: 554,349 	Average :560,747
7.level	 Min Weight: 554,108 	Average :560,184
8.level	 Min Weight: 553,837 	Average :559,828
9.level	 Min Weight: 553,466 	Average :559,574
10.level	 Min Weight: 553,175 	Average :559,311
11.level	 Min Weight: 552,834 	Average :559,128
12.level	 Min Weight: 552,834 	Average :558,665
13.level	 Min Weight: 551,912 	Average :558,269
14.level	 Min Weight: 551,912 	Average :558,298
15.level	 Min Weight: 551,410 	Average :557,789
16.level	 Min Weight: 551,410 	Average :557,559
17.level	 Min Weight: 551,119 	Average :557,259
18.level	 Min Weight: 550,959 	Average :556,989
19.level	 Min Weight: 550,427 	Average :556,670
20.level	 Min Weight: 550,287 	Average :556,250
21.level	 Min Weight: 549,605 	Average :555,811
22.level	 Min Weight: 549,605 	Average :555,566
23.level	 Min Weight: 548,822 	Average :555,441
24.level	 Min Weight: 548,892 	Average :555,048
25.level	 Min Weight: 548,652 	Average :554,815
26.level	 Min Weight: 548,471 	Average :554,590
27.level	 Min Weight: 548,000 	Average :554,293
28.level	 Min Weight: 547,900 	Average :553,996
29.level	 Min Weight: 546,806 	Average :553,760
30.level	 Min Weight: 546,014 	Average :553,515
31.level	 Min Weight: 545,603 	Average :553,162
32.level	 Min Weight: 545,221 	Average :552,780
33.level	 Min Weight: 544,880 	Average :552,342
34.level	 Min Weight: 545,221 	Average :551,960
35.level	 Min Weight: 544,650 	Average :551,595
36.level	 Min Weight: 543,677 	Average :551,170
37.level	 Min Weight: 543,677 	Average :550,975
38.level	 Min Weight: 543,677 	Average :550,220
39.level	 Min Weight: 543,677 	Average :549,970
40.level	 Min Weight: 543,045 	Average :549,577
41.level	 Min Weight: 543,045 	Average :549,335
42.level	 Min Weight: 542,744 	Average :549,107
43.level	 Min Weight: 542,734 	Average :549,013
44.level	 Min Weight: 541,932 	Average :548,385
45.level	 Min Weight: 541,300 	Average :547,929
46.level	 Min Weight: 541,300 	Average :547,580
47.level	 Min Weight: 541,169 	Average :547,149
48.level	 Min Weight: 541,300 	Average :547,223
49.level	 Min Weight: 540,708 	Average :547,087
50.level	 Min Weight: 540,307 	Average :546,475
51.level	 Min Weight: 539,855 	Average :546,382
52.level	 Min Weight: 539,855 	Average :545,854
53.level	 Min Weight: 539,725 	Average :545,874
54.level	 Min Weight: 539,153 	Average :545,877
55.level	 Min Weight: 539,153 	Average :545,073
56.level	 Min Weight: 539,153 	Average :545,132
57.level	 Min Weight: 538,521 	Average :544,763
58.level	 Min Weight: 538,521 	Average :544,333
59.level	 Min Weight: 538,200 	Average :544,358
60.level	 Min Weight: 538,160 	Average :544,273
61.level	 Min Weight: 538,030 	Average :543,404
62.level	 Min Weight: 537,759 	Average :543,212
63.level	 Min Weight: 537,729 	Average :543,976
64.level	 Min Weight: 537,318 	Average :543,033
65.level	 Min Weight: 537,318 	Average :542,498
66.level	 Min Weight: 537,228 	Average :542,750
67.level	 Min Weight: 536,465 	Average :542,708
68.level	 Min Weight: 536,385 	Average :543,118
69.level	 Min Weight: 536,385 	Average :542,036
70.level	 Min Weight: 536,385 	Average :541,658
71.level	 Min Weight: 535,843 	Average :542,517
72.level	 Min Weight: 535,272 	Average :541,594
73.level	 Min Weight: 534,901 	Average :541,837
74.level	 Min Weight: 534,379 	Average :541,211
75.level	 Min Weight: 534,349 	Average :541,020
76.level	 Min Weight: 533,486 	Average :540,425
77.level	 Min Weight: 533,486 	Average :540,262
78.level	 Min Weight: 533,486 	Average :540,716
79.level	 Min Weight: 533,206 	Average :540,492
80.level	 Min Weight: 533,206 	Average :539,315
81.level	 Min Weight: 532,684 	Average :539,546
82.level	 Min Weight: 533,206 	Average :538,405
83.level	 Min Weight: 532,684 	Average :538,568
84.level	 Min Weight: 532,203 	Average :538,335
85.level	 Min Weight: 532,132 	Average :538,447
86.level	 Min Weight: 531,751 	Average :537,830
87.level	 Min Weight: 531,751 	Average :538,191
88.level	 Min Weight: 530,949 	Average :536,942
89.level	 Min Weight: 530,949 	Average :538,063
90.level	 Min Weight: 530,187 	Average :537,088
91.level	 Min Weight: 530,187 	Average :537,012
92.level	 Min Weight: 529,635 	Average :536,387
93.level	 Min Weight: 529,635 	Average :536,236
94.level	 Min Weight: 529,635 	Average :536,253
95.level	 Min Weight: 529,635 	Average :535,394
96.level	 Min Weight: 529,254 	Average :535,674
97.level	 Min Weight: 528,712 	Average :535,289
98.level	 Min Weight: 528,712 	Average :534,426
99.level	 Min Weight: 528,712 	Average :534,886

Minimum Weighted Vertex : 528,712
General Average : 547,912945
