0.level	 Min Weight: 554,138 	Average :565,414
1.level	 Min Weight: 554,138 	Average :565,082
2.level	 Min Weight: 554,138 	Average :564,344
3.level	 Min Weight: 554,138 	Average :563,492
4.level	 Min Weight: 554,138 	Average :562,746
5.level	 Min Weight: 553,857 	Average :561,708
6.level	 Min Weight: 553,617 	Average :560,563
7.level	 Min Weight: 553,306 	Average :559,411
8.level	 Min Weight: 553,306 	Average :558,956
9.level	 Min Weight: 553,135 	Average :558,620
10.level	 Min Weight: 553,005 	Average :558,420
11.level	 Min Weight: 552,594 	Average :558,311
12.level	 Min Weight: 552,594 	Average :558,110
13.level	 Min Weight: 552,022 	Average :557,887
14.level	 Min Weight: 552,022 	Average :557,804
15.level	 Min Weight: 552,022 	Average :557,644
16.level	 Min Weight: 551,661 	Average :557,488
17.level	 Min Weight: 551,560 	Average :557,322
18.level	 Min Weight: 551,169 	Average :557,139
19.level	 Min Weight: 551,069 	Average :556,919
20.level	 Min Weight: 551,069 	Average :556,664
21.level	 Min Weight: 550,277 	Average :556,381
22.level	 Min Weight: 550,457 	Average :556,221
23.level	 Min Weight: 549,575 	Average :555,993
24.level	 Min Weight: 549,575 	Average :555,860
25.level	 Min Weight: 549,575 	Average :555,600
26.level	 Min Weight: 549,575 	Average :555,313
27.level	 Min Weight: 549,464 	Average :555,235
28.level	 Min Weight: 548,993 	Average :554,957
29.level	 Min Weight: 548,913 	Average :554,658
30.level	 Min Weight: 548,832 	Average :554,317
31.level	 Min Weight: 548,582 	Average :554,356
32.level	 Min Weight: 548,321 	Average :553,998
33.level	 Min Weight: 547,970 	Average :553,920
34.level	 Min Weight: 547,809 	Average :553,583
35.level	 Min Weight: 546,044 	Average :553,478
36.level	 Min Weight: 546,044 	Average :553,085
37.level	 Min Weight: 547,378 	Average :552,916
38.level	 Min Weight: 547,338 	Average :552,662
39.level	 Min Weight: 547,338 	Average :552,360
40.level	 Min Weight: 546,726 	Average :552,344
41.level	 Min Weight: 546,726 	Average :552,195
42.level	 Min Weight: 546,796 	Average :551,918
43.level	 Min Weight: 546,636 	Average :552,055
44.level	 Min Weight: 546,385 	Average :551,849
45.level	 Min Weight: 546,275 	Average :551,544
46.level	 Min Weight: 546,014 	Average :551,475
47.level	 Min Weight: 545,853 	Average :551,295
48.level	 Min Weight: 545,081 	Average :551,129
49.level	 Min Weight: 545,643 	Average :550,941
50.level	 Min Weight: 544,880 	Average :550,834
51.level	 Min Weight: 544,670 	Average :550,596
52.level	 Min Weight: 544,108 	Average :550,515
53.level	 Min Weight: 544,229 	Average :550,242
54.level	 Min Weight: 544,229 	Average :550,288
55.level	 Min Weight: 543,998 	Average :550,054
56.level	 Min Weight: 543,366 	Average :549,747
57.level	 Min Weight: 543,998 	Average :549,837
58.level	 Min Weight: 543,787 	Average :549,394
59.level	 Min Weight: 543,787 	Average :549,278
60.level	 Min Weight: 543,667 	Average :549,136
61.level	 Min Weight: 543,165 	Average :548,726
62.level	 Min Weight: 543,005 	Average :548,744
63.level	 Min Weight: 542,453 	Average :548,462
64.level	 Min Weight: 542,122 	Average :548,172
65.level	 Min Weight: 542,122 	Average :548,228
66.level	 Min Weight: 542,122 	Average :548,066
67.level	 Min Weight: 541,761 	Average :547,680
68.level	 Min Weight: 541,230 	Average :547,554
69.level	 Min Weight: 541,230 	Average :547,108
70.level	 Min Weight: 541,230 	Average :546,878
71.level	 Min Weight: 541,230 	Average :546,883
72.level	 Min Weight: 541,230 	Average :547,053
73.level	 Min Weight: 540,868 	Average :546,365
74.level	 Min Weight: 540,848 	Average :546,278
75.level	 Min Weight: 540,568 	Average :546,020
76.level	 Min Weight: 540,337 	Average :546,124
77.level	 Min Weight: 540,447 	Average :545,490
78.level	 Min Weight: 540,397 	Average :545,587
79.level	 Min Weight: 540,116 	Average :545,280
80.level	 Min Weight: 540,116 	Average :545,170
81.level	 Min Weight: 540,056 	Average :545,191
82.level	 Min Weight: 539,835 	Average :545,110
83.level	 Min Weight: 539,835 	Average :544,883
84.level	 Min Weight: 539,224 	Average :544,909
85.level	 Min Weight: 539,224 	Average :544,482
86.level	 Min Weight: 539,224 	Average :544,453
87.level	 Min Weight: 539,113 	Average :544,334
88.level	 Min Weight: 538,762 	Average :544,147
89.level	 Min Weight: 538,762 	Average :544,328
90.level	 Min Weight: 538,471 	Average :543,922
91.level	 Min Weight: 538,642 	Average :543,791
92.level	 Min Weight: 538,481 	Average :543,784
93.level	 Min Weight: 537,870 	Average :543,386
94.level	 Min Weight: 537,569 	Average :543,311
95.level	 Min Weight: 537,569 	Average :543,013
96.level	 Min Weight: 537,569 	Average :543,109
97.level	 Min Weight: 537,569 	Average :542,868
98.level	 Min Weight: 537,157 	Average :542,646
99.level	 Min Weight: 537,157 	Average :542,390

Minimum Weighted Vertex : 537,157
General Average : 551,2952815
