0.level	 Min Weight: 555,051 	Average :565,794
1.level	 Min Weight: 555,051 	Average :564,346
2.level	 Min Weight: 555,051 	Average :563,611
3.level	 Min Weight: 555,051 	Average :562,991
4.level	 Min Weight: 555,051 	Average :561,893
5.level	 Min Weight: 554,760 	Average :560,740
6.level	 Min Weight: 554,760 	Average :559,747
7.level	 Min Weight: 554,369 	Average :559,611
8.level	 Min Weight: 554,369 	Average :559,494
9.level	 Min Weight: 554,369 	Average :559,419
10.level	 Min Weight: 554,369 	Average :559,303
11.level	 Min Weight: 554,078 	Average :559,296
12.level	 Min Weight: 554,078 	Average :559,274
13.level	 Min Weight: 554,078 	Average :559,204
14.level	 Min Weight: 554,078 	Average :559,117
15.level	 Min Weight: 554,078 	Average :559,055
16.level	 Min Weight: 554,078 	Average :559,023
17.level	 Min Weight: 554,078 	Average :559,025
18.level	 Min Weight: 554,078 	Average :559,010
19.level	 Min Weight: 554,078 	Average :558,990
20.level	 Min Weight: 554,078 	Average :558,834
21.level	 Min Weight: 554,078 	Average :558,554
22.level	 Min Weight: 554,078 	Average :558,412
23.level	 Min Weight: 554,078 	Average :558,344
24.level	 Min Weight: 554,078 	Average :558,344
25.level	 Min Weight: 554,078 	Average :558,344
26.level	 Min Weight: 554,078 	Average :558,344
27.level	 Min Weight: 554,078 	Average :558,334
28.level	 Min Weight: 554,078 	Average :558,324
29.level	 Min Weight: 554,078 	Average :558,314
30.level	 Min Weight: 554,078 	Average :558,314
31.level	 Min Weight: 554,078 	Average :558,314
32.level	 Min Weight: 554,078 	Average :558,314
33.level	 Min Weight: 554,078 	Average :558,314
34.level	 Min Weight: 554,078 	Average :558,314
35.level	 Min Weight: 554,078 	Average :558,314
36.level	 Min Weight: 554,078 	Average :558,314
37.level	 Min Weight: 554,078 	Average :558,314
38.level	 Min Weight: 554,078 	Average :558,314
39.level	 Min Weight: 554,078 	Average :558,314
40.level	 Min Weight: 554,078 	Average :558,316
41.level	 Min Weight: 553,897 	Average :558,310
42.level	 Min Weight: 554,078 	Average :558,330
43.level	 Min Weight: 553,837 	Average :558,334
44.level	 Min Weight: 553,837 	Average :558,325
45.level	 Min Weight: 553,837 	Average :558,322
46.level	 Min Weight: 553,837 	Average :558,310
47.level	 Min Weight: 553,837 	Average :558,288
48.level	 Min Weight: 553,837 	Average :558,298
49.level	 Min Weight: 553,837 	Average :558,232
50.level	 Min Weight: 553,306 	Average :558,099
51.level	 Min Weight: 553,837 	Average :558,086
52.level	 Min Weight: 552,834 	Average :558,051
53.level	 Min Weight: 552,834 	Average :558,065
54.level	 Min Weight: 552,834 	Average :558,019
55.level	 Min Weight: 552,834 	Average :558,071
56.level	 Min Weight: 552,834 	Average :558,060
57.level	 Min Weight: 552,834 	Average :558,055
58.level	 Min Weight: 552,834 	Average :558,005
59.level	 Min Weight: 552,834 	Average :557,913
60.level	 Min Weight: 552,834 	Average :557,744
61.level	 Min Weight: 552,834 	Average :557,411
62.level	 Min Weight: 552,834 	Average :557,093
63.level	 Min Weight: 552,834 	Average :557,053
64.level	 Min Weight: 552,834 	Average :557,044
65.level	 Min Weight: 552,834 	Average :557,042
66.level	 Min Weight: 552,834 	Average :557,040
67.level	 Min Weight: 552,834 	Average :557,038
68.level	 Min Weight: 552,834 	Average :557,036
69.level	 Min Weight: 552,834 	Average :557,034
70.level	 Min Weight: 552,834 	Average :557,032
71.level	 Min Weight: 552,834 	Average :557,030
72.level	 Min Weight: 552,834 	Average :557,028
73.level	 Min Weight: 552,834 	Average :557,026
74.level	 Min Weight: 552,834 	Average :557,031
75.level	 Min Weight: 552,142 	Average :557,020
76.level	 Min Weight: 552,142 	Average :557,000
77.level	 Min Weight: 552,142 	Average :556,977
78.level	 Min Weight: 552,142 	Average :557,001
79.level	 Min Weight: 552,142 	Average :557,008
80.level	 Min Weight: 552,142 	Average :556,973
81.level	 Min Weight: 552,142 	Average :557,055
82.level	 Min Weight: 552,142 	Average :556,966
83.level	 Min Weight: 552,142 	Average :556,755
84.level	 Min Weight: 552,142 	Average :556,677
85.level	 Min Weight: 552,142 	Average :556,375
86.level	 Min Weight: 552,142 	Average :556,303
87.level	 Min Weight: 552,142 	Average :556,303
88.level	 Min Weight: 552,142 	Average :556,303
89.level	 Min Weight: 552,142 	Average :556,303
90.level	 Min Weight: 552,142 	Average :556,301
91.level	 Min Weight: 552,142 	Average :556,305
92.level	 Min Weight: 551,530 	Average :556,291
93.level	 Min Weight: 551,530 	Average :556,301
94.level	 Min Weight: 551,530 	Average :556,275
95.level	 Min Weight: 551,530 	Average :556,279
96.level	 Min Weight: 551,530 	Average :556,265
97.level	 Min Weight: 551,530 	Average :556,269
98.level	 Min Weight: 551,530 	Average :556,268
99.level	 Min Weight: 551,530 	Average :556,240

Minimum Weighted Vertex : 551,530
General Average : 558,1021237
