0.level	 Min Weight: 555,221 	Average :565,630
1.level	 Min Weight: 556,315 	Average :564,422
2.level	 Min Weight: 555,733 	Average :563,590
3.level	 Min Weight: 555,733 	Average :562,953
4.level	 Min Weight: 555,733 	Average :562,101
5.level	 Min Weight: 554,921 	Average :561,662
6.level	 Min Weight: 554,921 	Average :561,021
7.level	 Min Weight: 554,921 	Average :560,472
8.level	 Min Weight: 554,921 	Average :560,218
9.level	 Min Weight: 554,921 	Average :560,080
10.level	 Min Weight: 554,921 	Average :559,851
11.level	 Min Weight: 554,921 	Average :559,727
12.level	 Min Weight: 554,921 	Average :559,565
13.level	 Min Weight: 554,921 	Average :559,283
14.level	 Min Weight: 554,921 	Average :559,094
15.level	 Min Weight: 554,228 	Average :559,040
16.level	 Min Weight: 554,921 	Average :559,055
17.level	 Min Weight: 554,921 	Average :559,055
18.level	 Min Weight: 554,921 	Average :559,055
19.level	 Min Weight: 554,921 	Average :559,055
20.level	 Min Weight: 554,921 	Average :559,055
21.level	 Min Weight: 554,921 	Average :559,055
22.level	 Min Weight: 554,921 	Average :559,055
23.level	 Min Weight: 554,921 	Average :559,055
24.level	 Min Weight: 554,921 	Average :559,061
25.level	 Min Weight: 554,279 	Average :559,048
26.level	 Min Weight: 554,279 	Average :559,048
27.level	 Min Weight: 554,279 	Average :559,068
28.level	 Min Weight: 554,279 	Average :559,034
29.level	 Min Weight: 554,279 	Average :559,060
30.level	 Min Weight: 554,279 	Average :559,094
31.level	 Min Weight: 554,279 	Average :558,968
32.level	 Min Weight: 554,279 	Average :558,945
33.level	 Min Weight: 554,148 	Average :558,764
34.level	 Min Weight: 554,148 	Average :558,522
35.level	 Min Weight: 554,148 	Average :558,416
36.level	 Min Weight: 554,148 	Average :558,419
37.level	 Min Weight: 554,148 	Average :558,416
38.level	 Min Weight: 554,148 	Average :558,380
39.level	 Min Weight: 554,148 	Average :558,362
40.level	 Min Weight: 554,148 	Average :558,363
41.level	 Min Weight: 554,148 	Average :558,286
42.level	 Min Weight: 554,148 	Average :558,300
43.level	 Min Weight: 554,148 	Average :558,284
44.level	 Min Weight: 554,148 	Average :558,284
45.level	 Min Weight: 554,148 	Average :558,284
46.level	 Min Weight: 554,148 	Average :558,284
47.level	 Min Weight: 554,148 	Average :558,284
48.level	 Min Weight: 554,148 	Average :558,284
49.level	 Min Weight: 554,148 	Average :558,284
50.level	 Min Weight: 554,148 	Average :558,284
51.level	 Min Weight: 554,148 	Average :558,288
52.level	 Min Weight: 553,717 	Average :558,280
53.level	 Min Weight: 553,717 	Average :558,293
54.level	 Min Weight: 553,717 	Average :558,306
55.level	 Min Weight: 553,717 	Average :558,284
56.level	 Min Weight: 553,717 	Average :558,262
57.level	 Min Weight: 553,717 	Average :558,194
58.level	 Min Weight: 553,717 	Average :558,064
59.level	 Min Weight: 553,717 	Average :557,898
60.level	 Min Weight: 553,717 	Average :557,854
61.level	 Min Weight: 553,717 	Average :557,854
62.level	 Min Weight: 553,717 	Average :557,854
63.level	 Min Weight: 553,717 	Average :557,854
64.level	 Min Weight: 553,717 	Average :557,854
65.level	 Min Weight: 553,717 	Average :557,854
66.level	 Min Weight: 553,717 	Average :557,854
67.level	 Min Weight: 553,717 	Average :557,854
68.level	 Min Weight: 553,717 	Average :557,854
69.level	 Min Weight: 553,717 	Average :557,854
70.level	 Min Weight: 553,717 	Average :557,854
71.level	 Min Weight: 553,717 	Average :557,854
72.level	 Min Weight: 553,717 	Average :557,854
73.level	 Min Weight: 553,717 	Average :557,854
74.level	 Min Weight: 553,717 	Average :557,854
75.level	 Min Weight: 553,717 	Average :557,854
76.level	 Min Weight: 553,717 	Average :557,854
77.level	 Min Weight: 553,717 	Average :557,854
78.level	 Min Weight: 553,717 	Average :557,854
79.level	 Min Weight: 553,717 	Average :557,854
80.level	 Min Weight: 553,717 	Average :557,854
81.level	 Min Weight: 553,717 	Average :557,854
82.level	 Min Weight: 553,717 	Average :557,856
83.level	 Min Weight: 553,556 	Average :557,852
84.level	 Min Weight: 553,556 	Average :557,856
85.level	 Min Weight: 553,556 	Average :557,861
86.level	 Min Weight: 553,556 	Average :557,854
87.level	 Min Weight: 553,556 	Average :557,852
88.level	 Min Weight: 553,556 	Average :557,816
89.level	 Min Weight: 553,556 	Average :557,783
90.level	 Min Weight: 553,556 	Average :557,716
91.level	 Min Weight: 553,556 	Average :557,694
92.level	 Min Weight: 553,556 	Average :557,694
93.level	 Min Weight: 553,556 	Average :557,694
94.level	 Min Weight: 553,556 	Average :557,694
95.level	 Min Weight: 553,556 	Average :557,694
96.level	 Min Weight: 553,556 	Average :557,694
97.level	 Min Weight: 553,556 	Average :557,694
98.level	 Min Weight: 553,556 	Average :557,694
99.level	 Min Weight: 553,556 	Average :557,694
100.level	 Min Weight: 553,556 	Average :557,694
101.level	 Min Weight: 553,556 	Average :557,694
102.level	 Min Weight: 553,556 	Average :557,694
103.level	 Min Weight: 553,556 	Average :557,702
104.level	 Min Weight: 552,734 	Average :557,702
105.level	 Min Weight: 552,734 	Average :557,668
106.level	 Min Weight: 552,734 	Average :557,684
107.level	 Min Weight: 552,734 	Average :557,677
108.level	 Min Weight: 552,734 	Average :557,709
109.level	 Min Weight: 552,734 	Average :557,659
110.level	 Min Weight: 552,734 	Average :557,677
111.level	 Min Weight: 552,734 	Average :557,399
112.level	 Min Weight: 552,734 	Average :557,061
113.level	 Min Weight: 552,734 	Average :556,889
114.level	 Min Weight: 552,734 	Average :556,873
115.level	 Min Weight: 552,734 	Average :556,873
116.level	 Min Weight: 552,734 	Average :556,873
117.level	 Min Weight: 552,734 	Average :556,879
118.level	 Min Weight: 552,112 	Average :556,872
119.level	 Min Weight: 552,112 	Average :556,873
120.level	 Min Weight: 552,112 	Average :556,865
121.level	 Min Weight: 552,112 	Average :556,860
122.level	 Min Weight: 552,112 	Average :556,885
123.level	 Min Weight: 552,112 	Average :556,792
124.level	 Min Weight: 552,112 	Average :556,828
125.level	 Min Weight: 552,112 	Average :556,562
126.level	 Min Weight: 552,112 	Average :556,346
127.level	 Min Weight: 552,112 	Average :556,264
128.level	 Min Weight: 552,112 	Average :556,252
129.level	 Min Weight: 552,112 	Average :556,252
130.level	 Min Weight: 552,112 	Average :556,252
131.level	 Min Weight: 552,112 	Average :556,252
132.level	 Min Weight: 552,112 	Average :556,252
133.level	 Min Weight: 552,112 	Average :556,252
134.level	 Min Weight: 552,112 	Average :556,252
135.level	 Min Weight: 552,112 	Average :556,256
136.level	 Min Weight: 551,701 	Average :556,265
137.level	 Min Weight: 551,701 	Average :556,288
138.level	 Min Weight: 551,701 	Average :556,244
139.level	 Min Weight: 551,701 	Average :556,206
140.level	 Min Weight: 551,701 	Average :556,096
141.level	 Min Weight: 551,701 	Average :555,966
142.level	 Min Weight: 551,701 	Average :555,858
143.level	 Min Weight: 551,701 	Average :555,842
144.level	 Min Weight: 551,701 	Average :555,842
145.level	 Min Weight: 551,701 	Average :555,842
146.level	 Min Weight: 551,701 	Average :555,842
147.level	 Min Weight: 551,701 	Average :555,843
148.level	 Min Weight: 551,560 	Average :555,843
149.level	 Min Weight: 551,560 	Average :555,839
150.level	 Min Weight: 551,560 	Average :555,837
151.level	 Min Weight: 551,560 	Average :555,846
152.level	 Min Weight: 551,560 	Average :555,844
