0.level	 Min Weight: 554,359 	Average :565,589
1.level	 Min Weight: 554,359 	Average :564,977
2.level	 Min Weight: 554,359 	Average :564,485
3.level	 Min Weight: 554,359 	Average :563,990
4.level	 Min Weight: 554,359 	Average :562,079
5.level	 Min Weight: 554,309 	Average :560,630
6.level	 Min Weight: 554,299 	Average :559,811
7.level	 Min Weight: 553,376 	Average :558,841
8.level	 Min Weight: 553,376 	Average :558,687
9.level	 Min Weight: 553,376 	Average :558,708
10.level	 Min Weight: 553,366 	Average :558,718
11.level	 Min Weight: 552,533 	Average :558,629
12.level	 Min Weight: 552,533 	Average :558,230
13.level	 Min Weight: 552,433 	Average :557,816
14.level	 Min Weight: 552,172 	Average :557,716
15.level	 Min Weight: 552,162 	Average :557,526
16.level	 Min Weight: 551,962 	Average :557,496
17.level	 Min Weight: 551,330 	Average :557,317
18.level	 Min Weight: 551,691 	Average :556,985
19.level	 Min Weight: 550,969 	Average :556,779
20.level	 Min Weight: 550,969 	Average :556,556
21.level	 Min Weight: 550,969 	Average :556,432
22.level	 Min Weight: 550,969 	Average :556,061
23.level	 Min Weight: 550,858 	Average :555,905
24.level	 Min Weight: 550,066 	Average :555,611
25.level	 Min Weight: 550,066 	Average :555,355
26.level	 Min Weight: 549,976 	Average :555,239
27.level	 Min Weight: 549,976 	Average :555,346
28.level	 Min Weight: 549,976 	Average :555,192
29.level	 Min Weight: 549,454 	Average :554,961
30.level	 Min Weight: 549,454 	Average :554,545
31.level	 Min Weight: 549,063 	Average :554,243
32.level	 Min Weight: 548,892 	Average :554,397
33.level	 Min Weight: 548,521 	Average :554,277
34.level	 Min Weight: 548,521 	Average :554,196
35.level	 Min Weight: 548,481 	Average :554,003
36.level	 Min Weight: 547,900 	Average :553,702
37.level	 Min Weight: 547,900 	Average :553,926
38.level	 Min Weight: 547,900 	Average :553,541
39.level	 Min Weight: 547,649 	Average :553,184
40.level	 Min Weight: 547,268 	Average :553,232
41.level	 Min Weight: 546,957 	Average :552,887
42.level	 Min Weight: 546,646 	Average :552,422
43.level	 Min Weight: 546,425 	Average :552,227
44.level	 Min Weight: 546,204 	Average :551,974
45.level	 Min Weight: 546,204 	Average :551,764
46.level	 Min Weight: 546,114 	Average :552,212
47.level	 Min Weight: 546,014 	Average :551,564
48.level	 Min Weight: 545,382 	Average :550,882
49.level	 Min Weight: 545,382 	Average :551,388
50.level	 Min Weight: 544,670 	Average :550,913
51.level	 Min Weight: 544,670 	Average :550,762
52.level	 Min Weight: 544,670 	Average :550,442
53.level	 Min Weight: 544,670 	Average :550,221
54.level	 Min Weight: 544,429 	Average :550,574
55.level	 Min Weight: 544,429 	Average :550,134
56.level	 Min Weight: 544,670 	Average :549,514
57.level	 Min Weight: 544,329 	Average :550,424
58.level	 Min Weight: 544,329 	Average :549,571
59.level	 Min Weight: 544,329 	Average :549,615
60.level	 Min Weight: 544,419 	Average :549,348
61.level	 Min Weight: 544,108 	Average :548,958
62.level	 Min Weight: 543,978 	Average :549,215
63.level	 Min Weight: 543,978 	Average :549,095
64.level	 Min Weight: 543,807 	Average :549,073
65.level	 Min Weight: 543,486 	Average :548,816
66.level	 Min Weight: 542,955 	Average :548,639
67.level	 Min Weight: 542,955 	Average :549,122
68.level	 Min Weight: 542,794 	Average :548,330
69.level	 Min Weight: 542,794 	Average :548,348
70.level	 Min Weight: 542,503 	Average :548,185
71.level	 Min Weight: 542,704 	Average :547,492
72.level	 Min Weight: 541,500 	Average :547,466
73.level	 Min Weight: 541,500 	Average :547,567
74.level	 Min Weight: 541,500 	Average :547,633
75.level	 Min Weight: 541,500 	Average :546,748
76.level	 Min Weight: 541,500 	Average :547,493
77.level	 Min Weight: 541,500 	Average :546,472
78.level	 Min Weight: 541,500 	Average :546,305
79.level	 Min Weight: 540,929 	Average :546,149
80.level	 Min Weight: 541,169 	Average :545,817
81.level	 Min Weight: 541,039 	Average :546,081
82.level	 Min Weight: 541,039 	Average :545,971
83.level	 Min Weight: 541,039 	Average :546,131
84.level	 Min Weight: 541,039 	Average :545,461
85.level	 Min Weight: 540,818 	Average :545,518
86.level	 Min Weight: 540,678 	Average :544,982
87.level	 Min Weight: 540,678 	Average :545,813
88.level	 Min Weight: 540,678 	Average :545,943
89.level	 Min Weight: 539,976 	Average :545,560
90.level	 Min Weight: 539,976 	Average :545,281
91.level	 Min Weight: 539,916 	Average :545,284
92.level	 Min Weight: 539,906 	Average :544,976
93.level	 Min Weight: 539,906 	Average :545,171
94.level	 Min Weight: 539,795 	Average :544,815
95.level	 Min Weight: 538,923 	Average :544,780
96.level	 Min Weight: 538,923 	Average :544,475
97.level	 Min Weight: 538,923 	Average :544,464
98.level	 Min Weight: 538,923 	Average :544,282
99.level	 Min Weight: 538,782 	Average :543,772

Minimum Weighted Vertex : 538,782
General Average : 551,7943271
