0.level	 Min Weight: 553,767 	Average :565,661
1.level	 Min Weight: 553,767 	Average :564,704
2.level	 Min Weight: 553,767 	Average :563,753
3.level	 Min Weight: 553,767 	Average :562,754
4.level	 Min Weight: 553,767 	Average :562,034
5.level	 Min Weight: 553,767 	Average :560,880
6.level	 Min Weight: 552,483 	Average :559,853
7.level	 Min Weight: 552,483 	Average :558,717
8.level	 Min Weight: 552,483 	Average :558,125
9.level	 Min Weight: 552,483 	Average :557,872
10.level	 Min Weight: 552,483 	Average :557,923
11.level	 Min Weight: 552,483 	Average :557,812
12.level	 Min Weight: 552,483 	Average :557,633
13.level	 Min Weight: 552,483 	Average :557,368
14.level	 Min Weight: 552,363 	Average :556,956
15.level	 Min Weight: 552,363 	Average :556,661
16.level	 Min Weight: 552,363 	Average :556,622
17.level	 Min Weight: 552,363 	Average :556,624
18.level	 Min Weight: 552,363 	Average :556,617
19.level	 Min Weight: 552,363 	Average :556,625
20.level	 Min Weight: 551,922 	Average :556,600
21.level	 Min Weight: 552,363 	Average :556,572
22.level	 Min Weight: 552,363 	Average :556,534
23.level	 Min Weight: 552,363 	Average :556,510
24.level	 Min Weight: 552,363 	Average :556,502
25.level	 Min Weight: 552,363 	Average :556,502
26.level	 Min Weight: 552,363 	Average :556,502
27.level	 Min Weight: 552,363 	Average :556,502
28.level	 Min Weight: 552,363 	Average :556,502
29.level	 Min Weight: 552,363 	Average :556,502
30.level	 Min Weight: 552,363 	Average :556,504
31.level	 Min Weight: 551,881 	Average :556,500
32.level	 Min Weight: 551,881 	Average :556,500
33.level	 Min Weight: 551,881 	Average :556,500
34.level	 Min Weight: 551,881 	Average :556,498
35.level	 Min Weight: 552,363 	Average :556,502
36.level	 Min Weight: 552,363 	Average :556,502
37.level	 Min Weight: 552,363 	Average :556,502
38.level	 Min Weight: 552,363 	Average :556,502
39.level	 Min Weight: 552,363 	Average :556,501
40.level	 Min Weight: 552,363 	Average :556,504
41.level	 Min Weight: 552,363 	Average :556,502
42.level	 Min Weight: 552,363 	Average :556,502
43.level	 Min Weight: 552,363 	Average :556,502
44.level	 Min Weight: 552,363 	Average :556,502
45.level	 Min Weight: 552,363 	Average :556,502
46.level	 Min Weight: 552,363 	Average :556,502
47.level	 Min Weight: 552,363 	Average :556,502
48.level	 Min Weight: 552,363 	Average :556,502
49.level	 Min Weight: 552,363 	Average :556,502
50.level	 Min Weight: 552,363 	Average :556,502
51.level	 Min Weight: 552,363 	Average :556,502
52.level	 Min Weight: 552,363 	Average :556,502
53.level	 Min Weight: 552,303 	Average :556,501
54.level	 Min Weight: 552,363 	Average :556,504
55.level	 Min Weight: 552,363 	Average :556,501
56.level	 Min Weight: 552,363 	Average :556,504
57.level	 Min Weight: 552,363 	Average :556,502
58.level	 Min Weight: 552,363 	Average :556,502
59.level	 Min Weight: 552,363 	Average :556,502
60.level	 Min Weight: 552,363 	Average :556,500
61.level	 Min Weight: 552,363 	Average :556,506
62.level	 Min Weight: 552,363 	Average :556,502
63.level	 Min Weight: 552,363 	Average :556,502
64.level	 Min Weight: 552,363 	Average :556,502
65.level	 Min Weight: 552,363 	Average :556,502
66.level	 Min Weight: 552,363 	Average :556,502
67.level	 Min Weight: 552,363 	Average :556,502
68.level	 Min Weight: 552,363 	Average :556,502
69.level	 Min Weight: 552,363 	Average :556,502
70.level	 Min Weight: 552,363 	Average :556,502
71.level	 Min Weight: 552,363 	Average :556,502
72.level	 Min Weight: 552,363 	Average :556,502
73.level	 Min Weight: 552,363 	Average :556,502
74.level	 Min Weight: 552,363 	Average :556,502
75.level	 Min Weight: 552,363 	Average :556,501
76.level	 Min Weight: 552,363 	Average :556,507
77.level	 Min Weight: 551,861 	Average :556,501
78.level	 Min Weight: 551,861 	Average :556,510
79.level	 Min Weight: 551,861 	Average :556,499
80.level	 Min Weight: 551,861 	Average :556,484
81.level	 Min Weight: 551,861 	Average :556,516
82.level	 Min Weight: 551,861 	Average :556,489
83.level	 Min Weight: 551,861 	Average :556,398
84.level	 Min Weight: 551,861 	Average :556,322
85.level	 Min Weight: 551,861 	Average :556,117
86.level	 Min Weight: 551,861 	Average :556,009
87.level	 Min Weight: 551,861 	Average :556,008
88.level	 Min Weight: 551,861 	Average :556,002
89.level	 Min Weight: 551,861 	Average :556,002
90.level	 Min Weight: 551,861 	Average :556,002
91.level	 Min Weight: 551,861 	Average :556,001
92.level	 Min Weight: 551,861 	Average :556,004
93.level	 Min Weight: 551,861 	Average :556,005
94.level	 Min Weight: 551,340 	Average :555,998
95.level	 Min Weight: 551,340 	Average :556,003
96.level	 Min Weight: 551,340 	Average :555,988
97.level	 Min Weight: 551,340 	Average :556,002
98.level	 Min Weight: 551,340 	Average :556,009
99.level	 Min Weight: 551,340 	Average :555,996
100.level	 Min Weight: 551,340 	Average :556,009
101.level	 Min Weight: 551,340 	Average :556,006
102.level	 Min Weight: 550,858 	Average :555,948
103.level	 Min Weight: 550,858 	Average :555,793
104.level	 Min Weight: 550,858 	Average :555,717
105.level	 Min Weight: 550,858 	Average :555,573
106.level	 Min Weight: 550,858 	Average :555,513
107.level	 Min Weight: 550,858 	Average :555,467
108.level	 Min Weight: 550,858 	Average :555,321
109.level	 Min Weight: 550,427 	Average :555,107
110.level	 Min Weight: 550,858 	Average :555,027
111.level	 Min Weight: 550,858 	Average :555,001
112.level	 Min Weight: 550,858 	Average :555,001
113.level	 Min Weight: 550,858 	Average :555,001
114.level	 Min Weight: 550,858 	Average :555,001
115.level	 Min Weight: 550,858 	Average :555,001
116.level	 Min Weight: 550,858 	Average :555,001
117.level	 Min Weight: 550,858 	Average :555,001
118.level	 Min Weight: 550,858 	Average :555,001
119.level	 Min Weight: 550,858 	Average :555,001
120.level	 Min Weight: 550,858 	Average :555,001
121.level	 Min Weight: 550,858 	Average :555,001
122.level	 Min Weight: 550,858 	Average :555,001
123.level	 Min Weight: 550,858 	Average :555,001
124.level	 Min Weight: 550,858 	Average :555,001
125.level	 Min Weight: 550,858 	Average :555,001
126.level	 Min Weight: 550,858 	Average :555,001
127.level	 Min Weight: 550,858 	Average :555,001
128.level	 Min Weight: 550,858 	Average :555,001
129.level	 Min Weight: 550,858 	Average :554,998
130.level	 Min Weight: 550,858 	Average :555,007
131.level	 Min Weight: 550,858 	Average :555,001
132.level	 Min Weight: 550,858 	Average :555,001
133.level	 Min Weight: 550,858 	Average :555,001
134.level	 Min Weight: 550,858 	Average :555,001
135.level	 Min Weight: 550,858 	Average :555,001
136.level	 Min Weight: 550,858 	Average :555,001
137.level	 Min Weight: 550,858 	Average :555,005
138.level	 Min Weight: 550,146 	Average :554,993
139.level	 Min Weight: 550,146 	Average :555,005
140.level	 Min Weight: 550,146 	Average :555,018
141.level	 Min Weight: 550,146 	Average :554,970
142.level	 Min Weight: 550,146 	Average :555,007
143.level	 Min Weight: 550,146 	Average :554,992
144.level	 Min Weight: 550,146 	Average :554,918
145.level	 Min Weight: 550,146 	Average :554,908
146.level	 Min Weight: 550,146 	Average :554,869
147.level	 Min Weight: 550,146 	Average :554,652
148.level	 Min Weight: 550,146 	Average :554,434
149.level	 Min Weight: 550,146 	Average :554,290
150.level	 Min Weight: 550,146 	Average :554,290
151.level	 Min Weight: 550,146 	Average :554,290
152.level	 Min Weight: 550,146 	Average :554,290
153.level	 Min Weight: 550,146 	Average :554,290
154.level	 Min Weight: 550,146 	Average :554,290
155.level	 Min Weight: 550,146 	Average :554,291
156.level	 Min Weight: 549,865 	Average :554,291
157.level	 Min Weight: 549,865 	Average :554,290
158.level	 Min Weight: 549,865 	Average :554,291
159.level	 Min Weight: 549,865 	Average :554,288
160.level	 Min Weight: 549,865 	Average :554,275
161.level	 Min Weight: 549,865 	Average :554,289
162.level	 Min Weight: 549,865 	Average :554,273
163.level	 Min Weight: 549,865 	Average :554,238
164.level	 Min Weight: 549,865 	Average :554,175
165.level	 Min Weight: 549,865 	Average :554,096
166.level	 Min Weight: 549,865 	Average :554,026
167.level	 Min Weight: 549,865 	Average :554,010
168.level	 Min Weight: 549,865 	Average :554,010
169.level	 Min Weight: 549,865 	Average :554,010
170.level	 Min Weight: 549,865 	Average :554,010
171.level	 Min Weight: 549,865 	Average :554,010
172.level	 Min Weight: 549,865 	Average :554,010
173.level	 Min Weight: 549,865 	Average :554,010
174.level	 Min Weight: 549,865 	Average :554,010
175.level	 Min Weight: 549,865 	Average :554,010
176.level	 Min Weight: 549,865 	Average :554,010
177.level	 Min Weight: 549,865 	Average :554,010
178.level	 Min Weight: 549,865 	Average :554,010
179.level	 Min Weight: 549,865 	Average :554,010
180.level	 Min Weight: 549,865 	Average :554,010
181.level	 Min Weight: 549,865 	Average :554,010
182.level	 Min Weight: 549,865 	Average :554,010
183.level	 Min Weight: 549,865 	Average :554,010
184.level	 Min Weight: 549,865 	Average :553,997
185.level	 Min Weight: 549,865 	Average :554,036
186.level	 Min Weight: 549,865 	Average :554,010
187.level	 Min Weight: 549,865 	Average :553,998
188.level	 Min Weight: 549,865 	Average :554,036
189.level	 Min Weight: 549,504 	Average :554,006
190.level	 Min Weight: 549,865 	Average :554,010
191.level	 Min Weight: 549,865 	Average :554,010
192.level	 Min Weight: 549,865 	Average :554,010
