0.level	 Min Weight: 555,502 	Average :565,045
1.level	 Min Weight: 555,502 	Average :565,251
2.level	 Min Weight: 555,502 	Average :564,359
3.level	 Min Weight: 555,502 	Average :563,850
4.level	 Min Weight: 555,502 	Average :562,792
5.level	 Min Weight: 555,502 	Average :562,036
6.level	 Min Weight: 555,502 	Average :561,172
7.level	 Min Weight: 555,502 	Average :560,252
8.level	 Min Weight: 555,502 	Average :559,845
9.level	 Min Weight: 555,462 	Average :559,815
10.level	 Min Weight: 555,462 	Average :559,810
11.level	 Min Weight: 555,462 	Average :559,806
12.level	 Min Weight: 555,462 	Average :559,800
13.level	 Min Weight: 555,462 	Average :559,795
14.level	 Min Weight: 555,462 	Average :559,790
15.level	 Min Weight: 555,462 	Average :559,785
16.level	 Min Weight: 555,462 	Average :559,775
17.level	 Min Weight: 555,462 	Average :559,746
18.level	 Min Weight: 555,462 	Average :559,743
19.level	 Min Weight: 554,479 	Average :559,767
20.level	 Min Weight: 554,479 	Average :559,674
21.level	 Min Weight: 554,479 	Average :559,696
22.level	 Min Weight: 554,479 	Average :559,733
23.level	 Min Weight: 554,479 	Average :559,705
24.level	 Min Weight: 554,479 	Average :559,548
25.level	 Min Weight: 554,479 	Average :559,263
26.level	 Min Weight: 554,479 	Average :558,882
27.level	 Min Weight: 554,479 	Average :558,734
28.level	 Min Weight: 554,479 	Average :558,724
29.level	 Min Weight: 554,479 	Average :558,714
30.level	 Min Weight: 554,479 	Average :558,714
31.level	 Min Weight: 554,479 	Average :558,714
32.level	 Min Weight: 554,479 	Average :558,714
33.level	 Min Weight: 554,479 	Average :558,714
34.level	 Min Weight: 554,479 	Average :558,714
35.level	 Min Weight: 554,479 	Average :558,714
36.level	 Min Weight: 554,479 	Average :558,716
37.level	 Min Weight: 554,299 	Average :558,716
38.level	 Min Weight: 554,018 	Average :558,716
39.level	 Min Weight: 554,018 	Average :558,712
40.level	 Min Weight: 554,018 	Average :558,711
41.level	 Min Weight: 554,018 	Average :558,687
42.level	 Min Weight: 554,018 	Average :558,685
43.level	 Min Weight: 554,018 	Average :558,666
44.level	 Min Weight: 553,837 	Average :558,632
45.level	 Min Weight: 553,837 	Average :558,600
46.level	 Min Weight: 553,837 	Average :558,544
47.level	 Min Weight: 553,837 	Average :558,498
48.level	 Min Weight: 552,854 	Average :558,537
49.level	 Min Weight: 553,837 	Average :558,270
50.level	 Min Weight: 553,837 	Average :558,166
51.level	 Min Weight: 553,587 	Average :558,087
52.level	 Min Weight: 552,985 	Average :558,075
53.level	 Min Weight: 552,985 	Average :558,027
54.level	 Min Weight: 553,587 	Average :558,051
55.level	 Min Weight: 553,587 	Average :558,055
56.level	 Min Weight: 553,587 	Average :558,023
57.level	 Min Weight: 553,587 	Average :557,944
58.level	 Min Weight: 553,587 	Average :557,971
59.level	 Min Weight: 553,587 	Average :557,831
60.level	 Min Weight: 553,587 	Average :557,810
61.level	 Min Weight: 553,587 	Average :557,807
62.level	 Min Weight: 553,286 	Average :557,803
63.level	 Min Weight: 553,286 	Average :557,815
64.level	 Min Weight: 553,286 	Average :557,794
65.level	 Min Weight: 553,286 	Average :557,792
66.level	 Min Weight: 553,286 	Average :557,739
67.level	 Min Weight: 553,286 	Average :557,710
68.level	 Min Weight: 553,286 	Average :557,642
69.level	 Min Weight: 553,286 	Average :557,553
70.level	 Min Weight: 553,286 	Average :557,488
71.level	 Min Weight: 553,286 	Average :557,480
72.level	 Min Weight: 553,286 	Average :557,478
73.level	 Min Weight: 553,286 	Average :557,476
74.level	 Min Weight: 553,286 	Average :557,474
75.level	 Min Weight: 553,286 	Average :557,464
76.level	 Min Weight: 553,286 	Average :557,471
77.level	 Min Weight: 552,584 	Average :557,485
78.level	 Min Weight: 552,584 	Average :557,490
79.level	 Min Weight: 552,584 	Average :557,478
80.level	 Min Weight: 552,584 	Average :557,397
81.level	 Min Weight: 552,584 	Average :557,303
82.level	 Min Weight: 552,584 	Average :557,042
83.level	 Min Weight: 551,711 	Average :556,839
84.level	 Min Weight: 552,584 	Average :556,754
85.level	 Min Weight: 552,584 	Average :556,752
86.level	 Min Weight: 552,584 	Average :556,744
87.level	 Min Weight: 552,584 	Average :556,744
88.level	 Min Weight: 552,584 	Average :556,744
89.level	 Min Weight: 552,584 	Average :556,744
90.level	 Min Weight: 552,584 	Average :556,742
91.level	 Min Weight: 552,584 	Average :556,740
92.level	 Min Weight: 552,584 	Average :556,738
93.level	 Min Weight: 552,584 	Average :556,736
94.level	 Min Weight: 552,584 	Average :556,734
95.level	 Min Weight: 552,584 	Average :556,732
96.level	 Min Weight: 552,584 	Average :556,730
97.level	 Min Weight: 552,584 	Average :556,728
98.level	 Min Weight: 552,584 	Average :556,719
99.level	 Min Weight: 552,584 	Average :556,731

Minimum Weighted Clique : 551,711
General Average : 558,567
