0.level	 Min Weight: 554,108 	Average :565,440
1.level	 Min Weight: 554,108 	Average :564,912
2.level	 Min Weight: 553,376 	Average :564,448
3.level	 Min Weight: 553,376 	Average :563,840
4.level	 Min Weight: 552,804 	Average :562,879
5.level	 Min Weight: 552,423 	Average :561,642
6.level	 Min Weight: 552,423 	Average :560,284
7.level	 Min Weight: 551,972 	Average :559,223
8.level	 Min Weight: 551,290 	Average :558,257
9.level	 Min Weight: 551,290 	Average :557,445
10.level	 Min Weight: 551,560 	Average :557,223
11.level	 Min Weight: 551,199 	Average :557,062
12.level	 Min Weight: 550,949 	Average :556,894
13.level	 Min Weight: 550,557 	Average :556,489
14.level	 Min Weight: 550,557 	Average :556,172
15.level	 Min Weight: 550,557 	Average :555,968
16.level	 Min Weight: 549,916 	Average :555,885
17.level	 Min Weight: 549,123 	Average :555,468
18.level	 Min Weight: 549,113 	Average :555,386
19.level	 Min Weight: 549,113 	Average :554,986
20.level	 Min Weight: 549,053 	Average :554,645
21.level	 Min Weight: 548,341 	Average :554,221
22.level	 Min Weight: 548,431 	Average :554,257
23.level	 Min Weight: 548,030 	Average :553,670
24.level	 Min Weight: 548,401 	Average :554,021
25.level	 Min Weight: 548,401 	Average :553,788
26.level	 Min Weight: 547,900 	Average :553,670
27.level	 Min Weight: 547,900 	Average :553,291
28.level	 Min Weight: 547,759 	Average :553,201
29.level	 Min Weight: 547,478 	Average :552,954
30.level	 Min Weight: 547,137 	Average :552,824
31.level	 Min Weight: 546,836 	Average :552,566
32.level	 Min Weight: 546,836 	Average :552,693
33.level	 Min Weight: 546,836 	Average :552,255
34.level	 Min Weight: 546,706 	Average :552,296
35.level	 Min Weight: 546,596 	Average :552,180
36.level	 Min Weight: 546,596 	Average :551,891
37.level	 Min Weight: 546,295 	Average :552,187
38.level	 Min Weight: 545,613 	Average :551,569
39.level	 Min Weight: 545,262 	Average :551,351
40.level	 Min Weight: 545,262 	Average :551,671
41.level	 Min Weight: 545,502 	Average :551,612
42.level	 Min Weight: 545,502 	Average :551,030
43.level	 Min Weight: 544,820 	Average :550,893
44.level	 Min Weight: 544,539 	Average :550,829
45.level	 Min Weight: 544,539 	Average :550,362
46.level	 Min Weight: 544,539 	Average :550,153
47.level	 Min Weight: 544,539 	Average :549,693
48.level	 Min Weight: 544,539 	Average :549,889
49.level	 Min Weight: 544,439 	Average :548,881
50.level	 Min Weight: 544,439 	Average :549,461
51.level	 Min Weight: 544,439 	Average :549,231
52.level	 Min Weight: 544,439 	Average :549,193
53.level	 Min Weight: 543,998 	Average :548,912
54.level	 Min Weight: 543,998 	Average :548,779
55.level	 Min Weight: 543,998 	Average :548,848
56.level	 Min Weight: 543,246 	Average :549,072
57.level	 Min Weight: 543,246 	Average :548,442
58.level	 Min Weight: 543,246 	Average :548,933
59.level	 Min Weight: 543,246 	Average :548,586
60.level	 Min Weight: 543,246 	Average :548,608
61.level	 Min Weight: 543,185 	Average :548,783
62.level	 Min Weight: 543,135 	Average :548,179
63.level	 Min Weight: 543,135 	Average :548,085
64.level	 Min Weight: 543,185 	Average :548,634
65.level	 Min Weight: 543,185 	Average :547,303
66.level	 Min Weight: 543,185 	Average :548,250
67.level	 Min Weight: 542,975 	Average :547,760
68.level	 Min Weight: 542,975 	Average :547,282
69.level	 Min Weight: 542,764 	Average :547,785
70.level	 Min Weight: 542,764 	Average :547,549
71.level	 Min Weight: 542,975 	Average :547,606
72.level	 Min Weight: 542,303 	Average :547,596
73.level	 Min Weight: 542,543 	Average :547,166
74.level	 Min Weight: 542,523 	Average :547,571
75.level	 Min Weight: 542,523 	Average :547,492
76.level	 Min Weight: 542,423 	Average :547,072
77.level	 Min Weight: 542,423 	Average :547,125
78.level	 Min Weight: 542,423 	Average :547,502
79.level	 Min Weight: 542,313 	Average :547,170
80.level	 Min Weight: 542,082 	Average :547,158
81.level	 Min Weight: 541,460 	Average :547,166
82.level	 Min Weight: 540,909 	Average :546,693
83.level	 Min Weight: 541,340 	Average :547,383
84.level	 Min Weight: 541,079 	Average :546,374
85.level	 Min Weight: 540,096 	Average :546,801
86.level	 Min Weight: 540,628 	Average :545,934
87.level	 Min Weight: 540,096 	Average :545,995
88.level	 Min Weight: 540,096 	Average :545,788
89.level	 Min Weight: 539,193 	Average :545,662
90.level	 Min Weight: 539,193 	Average :545,158
91.level	 Min Weight: 539,193 	Average :544,809
92.level	 Min Weight: 539,193 	Average :544,549
93.level	 Min Weight: 539,103 	Average :544,606
94.level	 Min Weight: 539,103 	Average :543,854
95.level	 Min Weight: 539,103 	Average :544,995
96.level	 Min Weight: 538,702 	Average :543,748
97.level	 Min Weight: 538,271 	Average :543,934
98.level	 Min Weight: 538,762 	Average :544,044
99.level	 Min Weight: 538,762 	Average :543,696

Minimum Weighted Vertex : 538,271
General Average : 550,967
