0.level	 Min Weight: 472,940 	Average :479,337
1.level	 Min Weight: 472,940 	Average :478,385
2.level	 Min Weight: 472,940 	Average :477,647
3.level	 Min Weight: 472,940 	Average :476,663
4.level	 Min Weight: 472,940 	Average :475,190
5.level	 Min Weight: 472,890 	Average :474,155
6.level	 Min Weight: 472,880 	Average :473,534
7.level	 Min Weight: 471,960 	Average :473,006
8.level	 Min Weight: 471,960 	Average :472,914
9.level	 Min Weight: 471,960 	Average :472,879
10.level	 Min Weight: 471,950 	Average :472,783
11.level	 Min Weight: 471,120 	Average :472,576
12.level	 Min Weight: 471,120 	Average :472,246
13.level	 Min Weight: 471,020 	Average :471,980
14.level	 Min Weight: 470,760 	Average :471,856
15.level	 Min Weight: 470,750 	Average :471,703
16.level	 Min Weight: 470,550 	Average :471,582
17.level	 Min Weight: 469,920 	Average :471,365
18.level	 Min Weight: 470,280 	Average :471,094
19.level	 Min Weight: 469,560 	Average :470,885
20.level	 Min Weight: 469,560 	Average :470,672
21.level	 Min Weight: 469,560 	Average :470,469
22.level	 Min Weight: 469,560 	Average :470,187
23.level	 Min Weight: 469,450 	Average :469,994
24.level	 Min Weight: 468,660 	Average :469,764
25.level	 Min Weight: 468,660 	Average :469,597
26.level	 Min Weight: 468,570 	Average :469,519
27.level	 Min Weight: 468,570 	Average :469,479
28.level	 Min Weight: 468,570 	Average :469,282
29.level	 Min Weight: 468,050 	Average :469,032
30.level	 Min Weight: 468,050 	Average :468,752
31.level	 Min Weight: 467,660 	Average :468,608
32.level	 Min Weight: 467,490 	Average :468,622
33.level	 Min Weight: 467,120 	Average :468,496
34.level	 Min Weight: 467,120 	Average :468,364
35.level	 Min Weight: 467,080 	Average :468,181
36.level	 Min Weight: 466,500 	Average :468,007
37.level	 Min Weight: 466,500 	Average :467,960
38.level	 Min Weight: 466,500 	Average :467,642
39.level	 Min Weight: 466,250 	Average :467,391
40.level	 Min Weight: 465,870 	Average :467,246
41.level	 Min Weight: 465,560 	Average :466,907
42.level	 Min Weight: 465,250 	Average :466,574
43.level	 Min Weight: 465,030 	Average :466,387
44.level	 Min Weight: 464,810 	Average :466,207
45.level	 Min Weight: 464,810 	Average :466,100
46.level	 Min Weight: 464,720 	Average :466,090
47.level	 Min Weight: 464,620 	Average :465,620
48.level	 Min Weight: 463,990 	Average :465,326
49.level	 Min Weight: 463,990 	Average :465,417
50.level	 Min Weight: 463,280 	Average :465,091
51.level	 Min Weight: 463,280 	Average :464,912
52.level	 Min Weight: 463,280 	Average :464,703
53.level	 Min Weight: 463,280 	Average :464,603
54.level	 Min Weight: 463,040 	Average :464,622
55.level	 Min Weight: 463,040 	Average :464,304
56.level	 Min Weight: 463,280 	Average :464,106
57.level	 Min Weight: 462,940 	Average :464,329
58.level	 Min Weight: 462,940 	Average :463,862
59.level	 Min Weight: 462,940 	Average :463,779
60.level	 Min Weight: 463,030 	Average :463,567
61.level	 Min Weight: 462,720 	Average :463,410
62.level	 Min Weight: 462,590 	Average :463,486
63.level	 Min Weight: 462,590 	Average :463,381
64.level	 Min Weight: 462,420 	Average :463,291
65.level	 Min Weight: 462,100 	Average :463,124
66.level	 Min Weight: 461,570 	Average :463,044
67.level	 Min Weight: 461,570 	Average :463,059
68.level	 Min Weight: 461,410 	Average :462,604
69.level	 Min Weight: 461,410 	Average :462,484
70.level	 Min Weight: 461,120 	Average :462,224
71.level	 Min Weight: 461,320 	Average :461,865
72.level	 Min Weight: 460,120 	Average :461,838
73.level	 Min Weight: 460,120 	Average :461,807
74.level	 Min Weight: 460,120 	Average :461,642
75.level	 Min Weight: 460,120 	Average :461,244
76.level	 Min Weight: 460,120 	Average :461,323
77.level	 Min Weight: 460,120 	Average :460,736
78.level	 Min Weight: 460,120 	Average :460,583
79.level	 Min Weight: 459,550 	Average :460,444
80.level	 Min Weight: 459,790 	Average :460,321
81.level	 Min Weight: 459,660 	Average :460,405
82.level	 Min Weight: 459,660 	Average :460,307
83.level	 Min Weight: 459,660 	Average :460,219
84.level	 Min Weight: 459,660 	Average :459,881
85.level	 Min Weight: 459,440 	Average :459,873
86.level	 Min Weight: 459,300 	Average :459,798
87.level	 Min Weight: 459,300 	Average :460,176
88.level	 Min Weight: 459,300 	Average :460,101
89.level	 Min Weight: 458,600 	Average :459,821
90.level	 Min Weight: 458,600 	Average :459,643
91.level	 Min Weight: 458,540 	Average :459,564
92.level	 Min Weight: 458,530 	Average :459,401
93.level	 Min Weight: 458,530 	Average :459,381
94.level	 Min Weight: 458,420 	Average :459,144
95.level	 Min Weight: 457,550 	Average :459,024
96.level	 Min Weight: 457,550 	Average :458,816
97.level	 Min Weight: 457,550 	Average :458,703
98.level	 Min Weight: 457,550 	Average :458,486
99.level	 Min Weight: 457,410 	Average :458,232

Minimum Weighted Vertex : 457.4100000000005
General Average : 465,944
