0.level	 Min Weight: 473,070 	Average :479,222
1.level	 Min Weight: 473,070 	Average :478,503
2.level	 Min Weight: 473,070 	Average :477,452
3.level	 Min Weight: 473,070 	Average :476,659
4.level	 Min Weight: 473,070 	Average :475,979
5.level	 Min Weight: 472,930 	Average :475,189
6.level	 Min Weight: 472,930 	Average :474,567
7.level	 Min Weight: 472,690 	Average :474,136
8.level	 Min Weight: 472,420 	Average :473,832
9.level	 Min Weight: 472,050 	Average :473,575
10.level	 Min Weight: 471,760 	Average :473,309
11.level	 Min Weight: 471,420 	Average :473,035
12.level	 Min Weight: 471,420 	Average :472,665
13.level	 Min Weight: 470,500 	Average :472,383
14.level	 Min Weight: 470,500 	Average :472,209
15.level	 Min Weight: 470,000 	Average :471,827
16.level	 Min Weight: 470,000 	Average :471,566
17.level	 Min Weight: 469,710 	Average :471,269
18.level	 Min Weight: 469,550 	Average :470,960
19.level	 Min Weight: 469,020 	Average :470,612
20.level	 Min Weight: 468,880 	Average :470,234
21.level	 Min Weight: 468,200 	Average :469,898
22.level	 Min Weight: 468,200 	Average :469,665
23.level	 Min Weight: 467,420 	Average :469,444
24.level	 Min Weight: 467,490 	Average :469,126
25.level	 Min Weight: 467,250 	Average :468,883
26.level	 Min Weight: 467,070 	Average :468,630
27.level	 Min Weight: 466,600 	Average :468,348
28.level	 Min Weight: 466,500 	Average :468,071
29.level	 Min Weight: 465,410 	Average :467,804
30.level	 Min Weight: 464,620 	Average :467,495
31.level	 Min Weight: 464,210 	Average :467,121
32.level	 Min Weight: 463,830 	Average :466,726
33.level	 Min Weight: 463,490 	Average :466,317
34.level	 Min Weight: 463,830 	Average :465,937
35.level	 Min Weight: 463,260 	Average :465,559
36.level	 Min Weight: 462,290 	Average :465,168
37.level	 Min Weight: 462,290 	Average :464,810
38.level	 Min Weight: 462,290 	Average :464,289
39.level	 Min Weight: 462,290 	Average :464,002
40.level	 Min Weight: 461,660 	Average :463,678
41.level	 Min Weight: 461,660 	Average :463,422
42.level	 Min Weight: 461,360 	Average :463,152
43.level	 Min Weight: 461,350 	Average :462,854
44.level	 Min Weight: 460,550 	Average :462,352
45.level	 Min Weight: 459,920 	Average :461,975
46.level	 Min Weight: 459,920 	Average :461,670
47.level	 Min Weight: 459,790 	Average :461,407
48.level	 Min Weight: 459,920 	Average :461,310
49.level	 Min Weight: 459,330 	Average :461,040
50.level	 Min Weight: 458,930 	Average :460,634
51.level	 Min Weight: 458,480 	Average :460,431
52.level	 Min Weight: 458,480 	Average :460,116
53.level	 Min Weight: 458,350 	Average :460,012
54.level	 Min Weight: 457,780 	Average :459,782
55.level	 Min Weight: 457,780 	Average :459,316
56.level	 Min Weight: 457,780 	Average :459,186
57.level	 Min Weight: 457,150 	Average :458,865
58.level	 Min Weight: 457,150 	Average :458,590
59.level	 Min Weight: 456,830 	Average :458,468
60.level	 Min Weight: 456,790 	Average :458,196
61.level	 Min Weight: 456,660 	Average :457,737
62.level	 Min Weight: 456,390 	Average :457,688
63.level	 Min Weight: 456,360 	Average :457,782
64.level	 Min Weight: 455,950 	Average :457,206
65.level	 Min Weight: 455,950 	Average :456,987
66.level	 Min Weight: 455,860 	Average :457,082
67.level	 Min Weight: 455,100 	Average :457,018
68.level	 Min Weight: 455,020 	Average :456,929
69.level	 Min Weight: 455,020 	Average :456,339
70.level	 Min Weight: 455,020 	Average :456,239
71.level	 Min Weight: 454,480 	Average :456,415
72.level	 Min Weight: 453,910 	Average :455,906
73.level	 Min Weight: 453,540 	Average :455,808
74.level	 Min Weight: 453,020 	Average :455,367
75.level	 Min Weight: 452,990 	Average :455,108
76.level	 Min Weight: 452,130 	Average :454,771
77.level	 Min Weight: 452,130 	Average :454,691
78.level	 Min Weight: 452,130 	Average :454,694
79.level	 Min Weight: 451,850 	Average :454,246
80.level	 Min Weight: 451,850 	Average :453,574
81.level	 Min Weight: 451,330 	Average :453,405
82.level	 Min Weight: 451,850 	Average :452,834
83.level	 Min Weight: 451,330 	Average :452,831
84.level	 Min Weight: 450,850 	Average :452,660
85.level	 Min Weight: 450,780 	Average :452,548
86.level	 Min Weight: 450,400 	Average :452,210
87.level	 Min Weight: 450,400 	Average :452,143
88.level	 Min Weight: 449,600 	Average :451,648
89.level	 Min Weight: 449,600 	Average :451,906
90.level	 Min Weight: 448,840 	Average :451,301
91.level	 Min Weight: 448,840 	Average :451,063
92.level	 Min Weight: 448,290 	Average :450,661
93.level	 Min Weight: 448,290 	Average :450,480
94.level	 Min Weight: 448,290 	Average :450,267
95.level	 Min Weight: 448,290 	Average :449,822
96.level	 Min Weight: 447,910 	Average :449,789
97.level	 Min Weight: 447,370 	Average :449,440
98.level	 Min Weight: 447,370 	Average :449,125
99.level	 Min Weight: 447,370 	Average :449,356

Minimum Weighted Vertex : 447.37000000000023
General Average : 461,980
