0.level	 Min Weight: 472,480 	Average :479,000
1.level	 Min Weight: 472,480 	Average :478,234
2.level	 Min Weight: 472,480 	Average :477,183
3.level	 Min Weight: 472,480 	Average :476,156
4.level	 Min Weight: 471,870 	Average :475,018
5.level	 Min Weight: 471,870 	Average :473,996
6.level	 Min Weight: 471,870 	Average :473,196
7.level	 Min Weight: 471,870 	Average :472,623
8.level	 Min Weight: 471,870 	Average :472,495
9.level	 Min Weight: 471,870 	Average :472,421
10.level	 Min Weight: 471,870 	Average :472,367
11.level	 Min Weight: 471,870 	Average :472,266
12.level	 Min Weight: 471,870 	Average :472,138
13.level	 Min Weight: 471,870 	Average :471,983
14.level	 Min Weight: 471,870 	Average :471,888
15.level	 Min Weight: 471,870 	Average :471,870
16.level	 Min Weight: 471,870 	Average :471,870
17.level	 Min Weight: 471,870 	Average :471,870
18.level	 Min Weight: 471,870 	Average :471,870
19.level	 Min Weight: 471,870 	Average :471,870
20.level	 Min Weight: 471,870 	Average :471,870
21.level	 Min Weight: 471,870 	Average :471,870
22.level	 Min Weight: 471,870 	Average :471,870
23.level	 Min Weight: 471,870 	Average :471,870
24.level	 Min Weight: 471,590 	Average :471,869
25.level	 Min Weight: 470,980 	Average :471,861
26.level	 Min Weight: 470,980 	Average :471,851
27.level	 Min Weight: 470,980 	Average :471,817
28.level	 Min Weight: 470,980 	Average :471,754
29.level	 Min Weight: 470,980 	Average :471,711
30.level	 Min Weight: 470,700 	Average :471,523
31.level	 Min Weight: 470,700 	Average :471,276
32.level	 Min Weight: 470,700 	Average :471,084
33.level	 Min Weight: 470,700 	Average :470,971
34.level	 Min Weight: 470,700 	Average :470,942
35.level	 Min Weight: 470,700 	Average :470,911
36.level	 Min Weight: 470,700 	Average :470,858
37.level	 Min Weight: 470,700 	Average :470,799
38.level	 Min Weight: 470,700 	Average :470,739
39.level	 Min Weight: 470,700 	Average :470,703
40.level	 Min Weight: 470,700 	Average :470,700
41.level	 Min Weight: 470,700 	Average :470,700
42.level	 Min Weight: 470,700 	Average :470,700
43.level	 Min Weight: 470,700 	Average :470,700
44.level	 Min Weight: 469,970 	Average :470,696
45.level	 Min Weight: 469,970 	Average :470,693
46.level	 Min Weight: 469,970 	Average :470,694
47.level	 Min Weight: 469,970 	Average :470,678
48.level	 Min Weight: 469,970 	Average :470,638
49.level	 Min Weight: 469,970 	Average :470,580
50.level	 Min Weight: 469,970 	Average :470,528
51.level	 Min Weight: 469,970 	Average :470,390
52.level	 Min Weight: 469,970 	Average :470,200
53.level	 Min Weight: 469,970 	Average :470,076
54.level	 Min Weight: 469,970 	Average :469,988
55.level	 Min Weight: 469,970 	Average :469,970
56.level	 Min Weight: 469,970 	Average :469,970
57.level	 Min Weight: 469,580 	Average :469,968
58.level	 Min Weight: 469,580 	Average :469,966
59.level	 Min Weight: 469,580 	Average :469,954
60.level	 Min Weight: 469,580 	Average :469,932
61.level	 Min Weight: 469,210 	Average :469,911
62.level	 Min Weight: 469,210 	Average :469,854
63.level	 Min Weight: 469,210 	Average :469,768
64.level	 Min Weight: 469,210 	Average :469,666
65.level	 Min Weight: 469,210 	Average :469,588
66.level	 Min Weight: 469,210 	Average :469,537
67.level	 Min Weight: 468,990 	Average :469,503
68.level	 Min Weight: 468,990 	Average :469,424
69.level	 Min Weight: 468,990 	Average :469,318
70.level	 Min Weight: 468,990 	Average :469,224
71.level	 Min Weight: 468,990 	Average :469,158
72.level	 Min Weight: 468,990 	Average :469,118
73.level	 Min Weight: 468,990 	Average :469,059
74.level	 Min Weight: 468,990 	Average :469,009
75.level	 Min Weight: 468,990 	Average :468,992
76.level	 Min Weight: 468,990 	Average :468,990
77.level	 Min Weight: 468,990 	Average :468,990
78.level	 Min Weight: 468,990 	Average :468,990
79.level	 Min Weight: 468,990 	Average :468,990
80.level	 Min Weight: 468,990 	Average :468,998
81.level	 Min Weight: 468,990 	Average :468,990
82.level	 Min Weight: 468,990 	Average :468,990
83.level	 Min Weight: 468,990 	Average :468,990
84.level	 Min Weight: 468,990 	Average :468,990
85.level	 Min Weight: 468,990 	Average :468,994
86.level	 Min Weight: 468,990 	Average :468,994
87.level	 Min Weight: 468,990 	Average :468,990
88.level	 Min Weight: 468,990 	Average :468,995
89.level	 Min Weight: 468,990 	Average :468,990
90.level	 Min Weight: 468,990 	Average :468,990
91.level	 Min Weight: 468,990 	Average :468,990
92.level	 Min Weight: 468,990 	Average :468,990
93.level	 Min Weight: 468,990 	Average :468,990
94.level	 Min Weight: 468,990 	Average :468,998
95.level	 Min Weight: 468,990 	Average :468,995
96.level	 Min Weight: 468,990 	Average :468,990
97.level	 Min Weight: 468,990 	Average :468,990
98.level	 Min Weight: 468,990 	Average :468,990
99.level	 Min Weight: 468,990 	Average :468,990

Minimum Weighted Vertex : 468.9900000000004
General Average : 470,731
