0.level	 Min Weight: 473,800 	Average :479,100
1.level	 Min Weight: 474,890 	Average :478,125
2.level	 Min Weight: 474,310 	Average :477,384
3.level	 Min Weight: 474,310 	Average :476,734
4.level	 Min Weight: 474,310 	Average :476,071
5.level	 Min Weight: 473,500 	Average :475,597
6.level	 Min Weight: 473,500 	Average :475,087
7.level	 Min Weight: 473,500 	Average :474,708
8.level	 Min Weight: 473,500 	Average :474,499
9.level	 Min Weight: 473,500 	Average :474,335
10.level	 Min Weight: 473,500 	Average :474,145
11.level	 Min Weight: 473,500 	Average :473,994
12.level	 Min Weight: 473,500 	Average :473,816
13.level	 Min Weight: 473,500 	Average :473,622
14.level	 Min Weight: 473,500 	Average :473,516
15.level	 Min Weight: 472,810 	Average :473,493
16.level	 Min Weight: 473,500 	Average :473,500
17.level	 Min Weight: 473,500 	Average :473,500
18.level	 Min Weight: 473,500 	Average :473,500
19.level	 Min Weight: 473,500 	Average :473,500
20.level	 Min Weight: 473,500 	Average :473,500
21.level	 Min Weight: 473,500 	Average :473,500
22.level	 Min Weight: 473,500 	Average :473,500
23.level	 Min Weight: 473,500 	Average :473,500
24.level	 Min Weight: 473,500 	Average :473,500
25.level	 Min Weight: 472,860 	Average :473,494
26.level	 Min Weight: 472,860 	Average :473,494
27.level	 Min Weight: 472,860 	Average :473,494
28.level	 Min Weight: 472,860 	Average :473,474
29.level	 Min Weight: 472,860 	Average :473,468
30.level	 Min Weight: 472,860 	Average :473,430
31.level	 Min Weight: 472,860 	Average :473,320
32.level	 Min Weight: 472,860 	Average :473,226
33.level	 Min Weight: 472,730 	Average :473,061
34.level	 Min Weight: 472,730 	Average :472,912
35.level	 Min Weight: 472,730 	Average :472,856
36.level	 Min Weight: 472,730 	Average :472,850
37.level	 Min Weight: 472,730 	Average :472,835
38.level	 Min Weight: 472,730 	Average :472,808
39.level	 Min Weight: 472,730 	Average :472,790
40.level	 Min Weight: 472,730 	Average :472,772
41.level	 Min Weight: 472,730 	Average :472,735
42.level	 Min Weight: 472,730 	Average :472,738
43.level	 Min Weight: 472,730 	Average :472,730
44.level	 Min Weight: 472,730 	Average :472,730
45.level	 Min Weight: 472,730 	Average :472,730
46.level	 Min Weight: 472,730 	Average :472,730
47.level	 Min Weight: 472,730 	Average :472,730
48.level	 Min Weight: 472,730 	Average :472,730
49.level	 Min Weight: 472,730 	Average :472,730
50.level	 Min Weight: 472,730 	Average :472,730
51.level	 Min Weight: 472,730 	Average :472,730
52.level	 Min Weight: 472,300 	Average :472,726
53.level	 Min Weight: 472,300 	Average :472,726
54.level	 Min Weight: 472,300 	Average :472,713
55.level	 Min Weight: 472,300 	Average :472,674
56.level	 Min Weight: 472,300 	Average :472,618
57.level	 Min Weight: 472,300 	Average :472,528
58.level	 Min Weight: 472,300 	Average :472,416
59.level	 Min Weight: 472,300 	Average :472,322
60.level	 Min Weight: 472,300 	Average :472,300
61.level	 Min Weight: 472,300 	Average :472,300
62.level	 Min Weight: 472,300 	Average :472,300
63.level	 Min Weight: 472,300 	Average :472,300
64.level	 Min Weight: 472,300 	Average :472,300
65.level	 Min Weight: 472,300 	Average :472,300
66.level	 Min Weight: 472,300 	Average :472,300
67.level	 Min Weight: 472,300 	Average :472,300
68.level	 Min Weight: 472,300 	Average :472,300
69.level	 Min Weight: 472,300 	Average :472,300
70.level	 Min Weight: 472,300 	Average :472,300
71.level	 Min Weight: 472,300 	Average :472,300
72.level	 Min Weight: 472,300 	Average :472,300
73.level	 Min Weight: 472,300 	Average :472,300
74.level	 Min Weight: 472,300 	Average :472,300
75.level	 Min Weight: 472,300 	Average :472,300
76.level	 Min Weight: 472,300 	Average :472,300
77.level	 Min Weight: 472,300 	Average :472,300
78.level	 Min Weight: 472,300 	Average :472,300
79.level	 Min Weight: 472,300 	Average :472,300
80.level	 Min Weight: 472,300 	Average :472,300
81.level	 Min Weight: 472,300 	Average :472,300
82.level	 Min Weight: 472,300 	Average :472,300
83.level	 Min Weight: 472,140 	Average :472,298
84.level	 Min Weight: 472,140 	Average :472,298
85.level	 Min Weight: 472,140 	Average :472,294
86.level	 Min Weight: 472,140 	Average :472,281
87.level	 Min Weight: 472,140 	Average :472,262
88.level	 Min Weight: 472,140 	Average :472,226
89.level	 Min Weight: 472,140 	Average :472,190
90.level	 Min Weight: 472,140 	Average :472,151
91.level	 Min Weight: 472,140 	Average :472,140
92.level	 Min Weight: 472,140 	Average :472,140
93.level	 Min Weight: 472,140 	Average :472,140
94.level	 Min Weight: 472,140 	Average :472,140
95.level	 Min Weight: 472,140 	Average :472,140
96.level	 Min Weight: 472,140 	Average :472,140
97.level	 Min Weight: 472,140 	Average :472,140
98.level	 Min Weight: 472,140 	Average :472,140
99.level	 Min Weight: 472,140 	Average :472,140
100.level	 Min Weight: 472,140 	Average :472,140
101.level	 Min Weight: 472,140 	Average :472,140
102.level	 Min Weight: 472,140 	Average :472,140
103.level	 Min Weight: 472,140 	Average :472,140
104.level	 Min Weight: 471,320 	Average :472,132
105.level	 Min Weight: 471,320 	Average :472,115
106.level	 Min Weight: 471,320 	Average :472,115
107.level	 Min Weight: 471,320 	Average :472,099
108.level	 Min Weight: 471,320 	Average :472,074
109.level	 Min Weight: 471,320 	Average :471,992
110.level	 Min Weight: 471,320 	Average :471,878
111.level	 Min Weight: 471,320 	Average :471,632
112.level	 Min Weight: 471,320 	Average :471,418
113.level	 Min Weight: 471,320 	Average :471,328
114.level	 Min Weight: 471,320 	Average :471,320
115.level	 Min Weight: 471,320 	Average :471,320
116.level	 Min Weight: 471,320 	Average :471,320
117.level	 Min Weight: 471,320 	Average :471,320
118.level	 Min Weight: 470,700 	Average :471,314
119.level	 Min Weight: 470,700 	Average :471,308
120.level	 Min Weight: 470,700 	Average :471,295
121.level	 Min Weight: 470,700 	Average :471,277
122.level	 Min Weight: 470,700 	Average :471,246
123.level	 Min Weight: 470,700 	Average :471,159
124.level	 Min Weight: 470,700 	Average :471,078
125.level	 Min Weight: 470,700 	Average :470,880
126.level	 Min Weight: 470,700 	Average :470,750
127.level	 Min Weight: 470,700 	Average :470,706
128.level	 Min Weight: 470,700 	Average :470,700
129.level	 Min Weight: 470,700 	Average :470,700
130.level	 Min Weight: 470,700 	Average :470,700
131.level	 Min Weight: 470,700 	Average :470,700
132.level	 Min Weight: 470,700 	Average :470,700
133.level	 Min Weight: 470,700 	Average :470,700
134.level	 Min Weight: 470,700 	Average :470,700
