0.level	 Min Weight: 472,720 	Average :479,273
1.level	 Min Weight: 472,720 	Average :478,432
2.level	 Min Weight: 472,720 	Average :477,636
3.level	 Min Weight: 472,720 	Average :476,782
4.level	 Min Weight: 472,720 	Average :475,926
5.level	 Min Weight: 472,440 	Average :474,960
6.level	 Min Weight: 472,200 	Average :474,066
7.level	 Min Weight: 471,890 	Average :473,318
8.level	 Min Weight: 471,890 	Average :472,968
9.level	 Min Weight: 471,720 	Average :472,718
10.level	 Min Weight: 471,590 	Average :472,549
11.level	 Min Weight: 471,180 	Average :472,406
12.level	 Min Weight: 471,180 	Average :472,224
13.level	 Min Weight: 470,610 	Average :472,056
14.level	 Min Weight: 470,610 	Average :471,937
15.level	 Min Weight: 470,610 	Average :471,777
16.level	 Min Weight: 470,250 	Average :471,612
17.level	 Min Weight: 470,150 	Average :471,433
18.level	 Min Weight: 469,760 	Average :471,226
19.level	 Min Weight: 469,660 	Average :470,994
20.level	 Min Weight: 469,660 	Average :470,750
21.level	 Min Weight: 468,870 	Average :470,517
22.level	 Min Weight: 469,050 	Average :470,333
23.level	 Min Weight: 468,170 	Average :470,125
24.level	 Min Weight: 468,170 	Average :469,937
25.level	 Min Weight: 468,170 	Average :469,694
26.level	 Min Weight: 468,170 	Average :469,468
27.level	 Min Weight: 468,060 	Average :469,303
28.level	 Min Weight: 467,590 	Average :469,040
29.level	 Min Weight: 467,510 	Average :468,782
30.level	 Min Weight: 467,430 	Average :468,555
31.level	 Min Weight: 467,180 	Average :468,442
32.level	 Min Weight: 466,920 	Average :468,177
33.level	 Min Weight: 466,570 	Average :468,004
34.level	 Min Weight: 466,410 	Average :467,736
35.level	 Min Weight: 464,650 	Average :467,537
36.level	 Min Weight: 464,650 	Average :467,242
37.level	 Min Weight: 465,980 	Average :467,045
38.level	 Min Weight: 465,940 	Average :466,821
39.level	 Min Weight: 465,940 	Average :466,627
40.level	 Min Weight: 465,330 	Average :466,541
41.level	 Min Weight: 465,330 	Average :466,385
42.level	 Min Weight: 465,400 	Average :466,222
43.level	 Min Weight: 465,240 	Average :466,187
44.level	 Min Weight: 464,990 	Average :465,980
45.level	 Min Weight: 464,880 	Average :465,771
46.level	 Min Weight: 464,620 	Average :465,652
47.level	 Min Weight: 464,460 	Average :465,481
48.level	 Min Weight: 463,690 	Average :465,317
49.level	 Min Weight: 464,250 	Average :465,152
50.level	 Min Weight: 463,490 	Average :465,009
51.level	 Min Weight: 463,280 	Average :464,827
52.level	 Min Weight: 462,720 	Average :464,699
53.level	 Min Weight: 462,840 	Average :464,521
54.level	 Min Weight: 462,840 	Average :464,436
55.level	 Min Weight: 462,610 	Average :464,218
56.level	 Min Weight: 461,980 	Average :464,014
57.level	 Min Weight: 462,610 	Average :463,910
58.level	 Min Weight: 462,400 	Average :463,611
59.level	 Min Weight: 462,400 	Average :463,454
60.level	 Min Weight: 462,280 	Average :463,254
61.level	 Min Weight: 461,780 	Average :462,996
62.level	 Min Weight: 461,620 	Average :462,889
63.level	 Min Weight: 461,070 	Average :462,657
64.level	 Min Weight: 460,740 	Average :462,474
65.level	 Min Weight: 460,740 	Average :462,389
66.level	 Min Weight: 460,740 	Average :462,161
67.level	 Min Weight: 460,380 	Average :461,865
68.level	 Min Weight: 459,850 	Average :461,657
69.level	 Min Weight: 459,850 	Average :461,364
70.level	 Min Weight: 459,850 	Average :461,222
71.level	 Min Weight: 459,850 	Average :461,166
72.level	 Min Weight: 459,850 	Average :461,047
73.level	 Min Weight: 459,490 	Average :460,637
74.level	 Min Weight: 459,470 	Average :460,503
75.level	 Min Weight: 459,190 	Average :460,320
76.level	 Min Weight: 458,960 	Average :460,202
77.level	 Min Weight: 459,070 	Average :459,861
78.level	 Min Weight: 459,020 	Average :459,813
79.level	 Min Weight: 458,740 	Average :459,620
80.level	 Min Weight: 458,740 	Average :459,541
81.level	 Min Weight: 458,680 	Average :459,491
82.level	 Min Weight: 458,460 	Average :459,368
83.level	 Min Weight: 458,460 	Average :459,201
84.level	 Min Weight: 457,850 	Average :459,092
85.level	 Min Weight: 457,850 	Average :458,845
86.level	 Min Weight: 457,850 	Average :458,776
87.level	 Min Weight: 457,740 	Average :458,659
88.level	 Min Weight: 457,390 	Average :458,544
89.level	 Min Weight: 457,390 	Average :458,501
90.level	 Min Weight: 457,100 	Average :458,234
91.level	 Min Weight: 457,270 	Average :458,103
92.level	 Min Weight: 457,110 	Average :457,971
93.level	 Min Weight: 456,500 	Average :457,711
94.level	 Min Weight: 456,200 	Average :457,587
95.level	 Min Weight: 456,200 	Average :457,412
96.level	 Min Weight: 456,200 	Average :457,358
97.level	 Min Weight: 456,200 	Average :457,152
98.level	 Min Weight: 455,790 	Average :456,979
99.level	 Min Weight: 455,790 	Average :456,852

Minimum Weighted Vertex : 455.7900000000003
General Average : 465,433
