0.level	 Min Weight: 471,910 	Average :478,974
1.level	 Min Weight: 471,910 	Average :478,044
2.level	 Min Weight: 471,910 	Average :476,784
3.level	 Min Weight: 471,910 	Average :475,655
4.level	 Min Weight: 471,910 	Average :474,342
5.level	 Min Weight: 470,050 	Average :473,377
6.level	 Min Weight: 470,050 	Average :472,503
7.level	 Min Weight: 470,050 	Average :472,015
8.level	 Min Weight: 470,050 	Average :471,781
9.level	 Min Weight: 470,050 	Average :471,717
10.level	 Min Weight: 470,050 	Average :471,464
11.level	 Min Weight: 469,470 	Average :471,126
12.level	 Min Weight: 469,470 	Average :470,525
13.level	 Min Weight: 469,470 	Average :470,160
14.level	 Min Weight: 469,470 	Average :470,004
15.level	 Min Weight: 469,470 	Average :469,928
16.level	 Min Weight: 469,470 	Average :469,835
17.level	 Min Weight: 469,470 	Average :469,702
18.level	 Min Weight: 469,470 	Average :469,551
19.level	 Min Weight: 469,470 	Average :469,482
20.level	 Min Weight: 469,470 	Average :469,470
21.level	 Min Weight: 469,470 	Average :469,473
22.level	 Min Weight: 469,470 	Average :469,470
23.level	 Min Weight: 469,240 	Average :469,469
24.level	 Min Weight: 469,240 	Average :469,464
25.level	 Min Weight: 469,240 	Average :469,460
26.level	 Min Weight: 469,240 	Average :469,450
27.level	 Min Weight: 469,240 	Average :469,429
28.level	 Min Weight: 469,240 	Average :469,398
29.level	 Min Weight: 469,240 	Average :469,361
30.level	 Min Weight: 469,240 	Average :469,302
31.level	 Min Weight: 469,240 	Average :469,258
32.level	 Min Weight: 469,240 	Average :469,240
33.level	 Min Weight: 469,240 	Average :469,240
34.level	 Min Weight: 468,640 	Average :469,237
35.level	 Min Weight: 468,640 	Average :469,234
36.level	 Min Weight: 468,640 	Average :469,222
37.level	 Min Weight: 468,640 	Average :469,195
38.level	 Min Weight: 468,640 	Average :469,150
39.level	 Min Weight: 468,640 	Average :469,066
40.level	 Min Weight: 468,640 	Average :468,931
41.level	 Min Weight: 468,640 	Average :468,787
42.level	 Min Weight: 468,640 	Average :468,676
43.level	 Min Weight: 468,640 	Average :468,646
44.level	 Min Weight: 468,640 	Average :468,640
45.level	 Min Weight: 468,640 	Average :468,640
46.level	 Min Weight: 467,840 	Average :468,636
47.level	 Min Weight: 467,840 	Average :468,632
48.level	 Min Weight: 467,840 	Average :468,612
49.level	 Min Weight: 467,840 	Average :468,600
50.level	 Min Weight: 467,840 	Average :468,604
51.level	 Min Weight: 467,840 	Average :468,532
52.level	 Min Weight: 467,840 	Average :468,428
53.level	 Min Weight: 467,840 	Average :468,240
54.level	 Min Weight: 467,840 	Average :468,020
55.level	 Min Weight: 467,840 	Average :467,900
56.level	 Min Weight: 467,840 	Average :467,848
57.level	 Min Weight: 467,840 	Average :467,840
58.level	 Min Weight: 467,840 	Average :467,840
59.level	 Min Weight: 467,840 	Average :467,840
60.level	 Min Weight: 467,840 	Average :467,840
61.level	 Min Weight: 467,840 	Average :467,840
62.level	 Min Weight: 467,060 	Average :467,836
63.level	 Min Weight: 466,860 	Average :467,824
64.level	 Min Weight: 466,860 	Average :467,808
65.level	 Min Weight: 467,060 	Average :467,794
66.level	 Min Weight: 466,460 	Average :467,754
67.level	 Min Weight: 466,460 	Average :467,655
68.level	 Min Weight: 466,460 	Average :467,518
69.level	 Min Weight: 466,460 	Average :467,319
70.level	 Min Weight: 466,460 	Average :467,121
71.level	 Min Weight: 466,460 	Average :466,965
72.level	 Min Weight: 466,460 	Average :466,884
73.level	 Min Weight: 466,460 	Average :466,739
74.level	 Min Weight: 466,370 	Average :466,578
75.level	 Min Weight: 466,370 	Average :466,499
76.level	 Min Weight: 466,370 	Average :466,463
77.level	 Min Weight: 465,770 	Average :466,459
78.level	 Min Weight: 465,770 	Average :466,449
79.level	 Min Weight: 465,770 	Average :466,439
80.level	 Min Weight: 465,770 	Average :466,405
81.level	 Min Weight: 465,770 	Average :466,357
82.level	 Min Weight: 465,770 	Average :466,298
83.level	 Min Weight: 465,770 	Average :466,153
84.level	 Min Weight: 465,770 	Average :466,022
85.level	 Min Weight: 465,770 	Average :465,874
86.level	 Min Weight: 465,770 	Average :465,784
87.level	 Min Weight: 465,770 	Average :465,770
88.level	 Min Weight: 465,590 	Average :465,769
89.level	 Min Weight: 465,590 	Average :465,768
90.level	 Min Weight: 465,590 	Average :465,831
91.level	 Min Weight: 465,590 	Average :465,756
92.level	 Min Weight: 465,590 	Average :465,744
93.level	 Min Weight: 465,590 	Average :465,721
94.level	 Min Weight: 465,590 	Average :465,682
95.level	 Min Weight: 464,710 	Average :465,626
96.level	 Min Weight: 464,710 	Average :465,591
97.level	 Min Weight: 464,710 	Average :465,601
98.level	 Min Weight: 464,710 	Average :465,577
99.level	 Min Weight: 464,710 	Average :465,550

Minimum Weighted Vertex : 464.7100000000004
General Average : 468,621
