0.level	 Min Weight: 473,630 	Average :479,111
1.level	 Min Weight: 473,630 	Average :477,728
2.level	 Min Weight: 473,630 	Average :476,965
3.level	 Min Weight: 473,630 	Average :476,174
4.level	 Min Weight: 473,630 	Average :475,212
5.level	 Min Weight: 473,340 	Average :474,386
6.level	 Min Weight: 473,340 	Average :473,887
7.level	 Min Weight: 472,950 	Average :473,777
8.level	 Min Weight: 472,950 	Average :473,687
9.level	 Min Weight: 472,950 	Average :473,619
10.level	 Min Weight: 472,950 	Average :473,553
11.level	 Min Weight: 472,660 	Average :473,532
12.level	 Min Weight: 472,660 	Average :473,492
13.level	 Min Weight: 472,660 	Average :473,429
14.level	 Min Weight: 472,660 	Average :473,368
15.level	 Min Weight: 472,660 	Average :473,328
16.level	 Min Weight: 472,660 	Average :473,305
17.level	 Min Weight: 472,660 	Average :473,286
18.level	 Min Weight: 472,660 	Average :473,231
19.level	 Min Weight: 472,660 	Average :473,136
20.level	 Min Weight: 472,660 	Average :472,966
21.level	 Min Weight: 472,660 	Average :472,782
22.level	 Min Weight: 472,660 	Average :472,694
23.level	 Min Weight: 472,660 	Average :472,660
24.level	 Min Weight: 472,660 	Average :472,660
25.level	 Min Weight: 472,660 	Average :472,660
26.level	 Min Weight: 472,660 	Average :472,660
27.level	 Min Weight: 472,660 	Average :472,660
28.level	 Min Weight: 472,660 	Average :472,660
29.level	 Min Weight: 472,660 	Average :472,660
30.level	 Min Weight: 472,660 	Average :472,660
31.level	 Min Weight: 472,660 	Average :472,660
32.level	 Min Weight: 472,660 	Average :472,660
33.level	 Min Weight: 472,660 	Average :472,660
34.level	 Min Weight: 472,660 	Average :472,660
35.level	 Min Weight: 472,660 	Average :472,660
36.level	 Min Weight: 472,660 	Average :472,660
37.level	 Min Weight: 472,660 	Average :472,660
38.level	 Min Weight: 472,660 	Average :472,660
39.level	 Min Weight: 472,660 	Average :472,660
40.level	 Min Weight: 472,660 	Average :472,660
41.level	 Min Weight: 472,480 	Average :472,658
42.level	 Min Weight: 472,660 	Average :472,660
43.level	 Min Weight: 472,420 	Average :472,658
44.level	 Min Weight: 472,420 	Average :472,650
45.level	 Min Weight: 472,420 	Average :472,643
46.level	 Min Weight: 472,420 	Average :472,626
47.level	 Min Weight: 472,420 	Average :472,602
48.level	 Min Weight: 472,420 	Average :472,574
49.level	 Min Weight: 472,420 	Average :472,506
50.level	 Min Weight: 471,890 	Average :472,434
51.level	 Min Weight: 472,420 	Average :472,420
52.level	 Min Weight: 471,420 	Average :472,404
53.level	 Min Weight: 471,420 	Average :472,404
54.level	 Min Weight: 471,420 	Average :472,388
55.level	 Min Weight: 471,420 	Average :472,400
56.level	 Min Weight: 471,420 	Average :472,370
57.level	 Min Weight: 471,420 	Average :472,319
58.level	 Min Weight: 471,420 	Average :472,220
59.level	 Min Weight: 471,420 	Average :472,070
60.level	 Min Weight: 471,420 	Average :471,860
61.level	 Min Weight: 471,420 	Average :471,609
62.level	 Min Weight: 471,420 	Average :471,440
63.level	 Min Weight: 471,420 	Average :471,420
64.level	 Min Weight: 471,420 	Average :471,420
65.level	 Min Weight: 471,420 	Average :471,420
66.level	 Min Weight: 471,420 	Average :471,420
67.level	 Min Weight: 471,420 	Average :471,420
68.level	 Min Weight: 471,420 	Average :471,420
69.level	 Min Weight: 471,420 	Average :471,420
70.level	 Min Weight: 471,420 	Average :471,420
71.level	 Min Weight: 471,420 	Average :471,420
72.level	 Min Weight: 471,420 	Average :471,420
73.level	 Min Weight: 471,420 	Average :471,420
74.level	 Min Weight: 471,420 	Average :471,420
75.level	 Min Weight: 470,730 	Average :471,413
76.level	 Min Weight: 470,730 	Average :471,399
77.level	 Min Weight: 470,730 	Average :471,391
78.level	 Min Weight: 470,730 	Average :471,398
79.level	 Min Weight: 470,730 	Average :471,388
80.level	 Min Weight: 470,730 	Average :471,361
81.level	 Min Weight: 470,730 	Average :471,340
82.level	 Min Weight: 470,730 	Average :471,214
83.level	 Min Weight: 470,730 	Average :471,049
84.level	 Min Weight: 470,730 	Average :470,928
85.level	 Min Weight: 470,730 	Average :470,762
86.level	 Min Weight: 470,730 	Average :470,730
87.level	 Min Weight: 470,730 	Average :470,730
88.level	 Min Weight: 470,730 	Average :470,730
89.level	 Min Weight: 470,730 	Average :470,730
90.level	 Min Weight: 470,730 	Average :470,730
91.level	 Min Weight: 470,730 	Average :470,730
92.level	 Min Weight: 470,120 	Average :470,724
93.level	 Min Weight: 470,120 	Average :470,724
94.level	 Min Weight: 470,120 	Average :470,712
95.level	 Min Weight: 470,120 	Average :470,712
96.level	 Min Weight: 470,120 	Average :470,706
97.level	 Min Weight: 470,120 	Average :470,706
98.level	 Min Weight: 470,120 	Average :470,700
99.level	 Min Weight: 470,120 	Average :470,687

Minimum Weighted Vertex : 470.12000000000035
General Average : 472,372
