0.level	 Min Weight: 474,080 	Average :479,173
1.level	 Min Weight: 474,080 	Average :478,601
2.level	 Min Weight: 474,080 	Average :477,807
3.level	 Min Weight: 474,080 	Average :477,111
4.level	 Min Weight: 474,080 	Average :476,228
5.level	 Min Weight: 474,080 	Average :475,520
6.level	 Min Weight: 474,080 	Average :474,860
7.level	 Min Weight: 474,080 	Average :474,299
8.level	 Min Weight: 474,080 	Average :474,092
9.level	 Min Weight: 474,040 	Average :474,080
10.level	 Min Weight: 474,040 	Average :474,080
11.level	 Min Weight: 474,040 	Average :474,080
12.level	 Min Weight: 474,040 	Average :474,079
13.level	 Min Weight: 474,040 	Average :474,078
14.level	 Min Weight: 474,040 	Average :474,076
15.level	 Min Weight: 474,040 	Average :474,072
16.level	 Min Weight: 474,040 	Average :474,064
17.level	 Min Weight: 474,040 	Average :474,053
18.level	 Min Weight: 474,040 	Average :474,045
19.level	 Min Weight: 473,060 	Average :474,032
20.level	 Min Weight: 473,060 	Average :473,981
21.level	 Min Weight: 473,060 	Average :473,972
22.level	 Min Weight: 473,060 	Average :473,932
23.level	 Min Weight: 473,060 	Average :473,815
24.level	 Min Weight: 473,060 	Average :473,609
25.level	 Min Weight: 473,060 	Average :473,354
26.level	 Min Weight: 473,060 	Average :473,129
27.level	 Min Weight: 473,060 	Average :473,060
28.level	 Min Weight: 473,060 	Average :473,060
29.level	 Min Weight: 473,060 	Average :473,060
30.level	 Min Weight: 473,060 	Average :473,060
31.level	 Min Weight: 473,060 	Average :473,060
32.level	 Min Weight: 473,060 	Average :473,060
33.level	 Min Weight: 473,060 	Average :473,060
34.level	 Min Weight: 473,060 	Average :473,060
35.level	 Min Weight: 473,060 	Average :473,060
36.level	 Min Weight: 473,060 	Average :473,060
37.level	 Min Weight: 472,880 	Average :473,058
38.level	 Min Weight: 472,600 	Average :473,054
39.level	 Min Weight: 472,600 	Average :473,046
40.level	 Min Weight: 472,600 	Average :473,034
41.level	 Min Weight: 472,600 	Average :473,011
42.level	 Min Weight: 472,600 	Average :472,989
43.level	 Min Weight: 472,600 	Average :472,961
44.level	 Min Weight: 472,420 	Average :472,924
45.level	 Min Weight: 472,420 	Average :472,884
46.level	 Min Weight: 472,420 	Average :472,830
47.level	 Min Weight: 472,420 	Average :472,776
48.level	 Min Weight: 471,440 	Average :472,712
49.level	 Min Weight: 472,420 	Average :472,542
50.level	 Min Weight: 472,420 	Average :472,468
51.level	 Min Weight: 472,170 	Average :472,422
52.level	 Min Weight: 471,570 	Average :472,407
53.level	 Min Weight: 471,570 	Average :472,386
54.level	 Min Weight: 472,170 	Average :472,390
55.level	 Min Weight: 472,170 	Average :472,373
56.level	 Min Weight: 472,170 	Average :472,333
57.level	 Min Weight: 472,170 	Average :472,283
58.level	 Min Weight: 472,170 	Average :472,260
59.level	 Min Weight: 472,170 	Average :472,185
60.level	 Min Weight: 472,170 	Average :472,173
61.level	 Min Weight: 472,170 	Average :472,170
62.level	 Min Weight: 471,870 	Average :472,167
63.level	 Min Weight: 471,870 	Average :472,164
64.level	 Min Weight: 471,870 	Average :472,146
65.level	 Min Weight: 471,870 	Average :472,122
66.level	 Min Weight: 471,870 	Average :472,074
67.level	 Min Weight: 471,870 	Average :472,029
68.level	 Min Weight: 471,870 	Average :471,966
69.level	 Min Weight: 471,870 	Average :471,906
70.level	 Min Weight: 471,870 	Average :471,873
71.level	 Min Weight: 471,870 	Average :471,870
72.level	 Min Weight: 471,870 	Average :471,870
73.level	 Min Weight: 471,870 	Average :471,870
74.level	 Min Weight: 471,870 	Average :471,870
75.level	 Min Weight: 471,870 	Average :471,870
76.level	 Min Weight: 471,870 	Average :471,870
77.level	 Min Weight: 471,170 	Average :471,863
78.level	 Min Weight: 471,170 	Average :471,835
79.level	 Min Weight: 471,170 	Average :471,774
80.level	 Min Weight: 471,170 	Average :471,664
81.level	 Min Weight: 471,170 	Average :471,523
82.level	 Min Weight: 471,170 	Average :471,333
83.level	 Min Weight: 470,300 	Average :471,212
84.level	 Min Weight: 471,170 	Average :471,170
85.level	 Min Weight: 471,170 	Average :471,170
86.level	 Min Weight: 471,170 	Average :471,170
87.level	 Min Weight: 471,170 	Average :471,170
88.level	 Min Weight: 471,170 	Average :471,170
89.level	 Min Weight: 471,170 	Average :471,170
90.level	 Min Weight: 471,170 	Average :471,170
91.level	 Min Weight: 471,170 	Average :471,170
92.level	 Min Weight: 471,170 	Average :471,170
93.level	 Min Weight: 471,170 	Average :471,170
94.level	 Min Weight: 471,170 	Average :471,170
95.level	 Min Weight: 471,170 	Average :471,170
96.level	 Min Weight: 471,170 	Average :471,170
97.level	 Min Weight: 471,170 	Average :471,170
98.level	 Min Weight: 471,170 	Average :471,170
99.level	 Min Weight: 471,170 	Average :471,177

Minimum Weighted Vertex : 470.3000000000003
General Average : 472,841
