0.level	 Min Weight: 472,350 	Average :479,157
1.level	 Min Weight: 472,350 	Average :478,207
2.level	 Min Weight: 472,350 	Average :477,264
3.level	 Min Weight: 472,350 	Average :476,329
4.level	 Min Weight: 472,350 	Average :475,458
5.level	 Min Weight: 472,350 	Average :474,436
6.level	 Min Weight: 471,070 	Average :473,546
7.level	 Min Weight: 471,070 	Average :472,791
8.level	 Min Weight: 471,070 	Average :472,417
9.level	 Min Weight: 471,070 	Average :472,261
10.level	 Min Weight: 471,070 	Average :472,202
11.level	 Min Weight: 471,070 	Average :472,033
12.level	 Min Weight: 471,070 	Average :471,806
13.level	 Min Weight: 471,070 	Average :471,531
14.level	 Min Weight: 470,950 	Average :471,246
15.level	 Min Weight: 470,950 	Average :471,088
16.level	 Min Weight: 470,950 	Average :471,067
17.level	 Min Weight: 470,950 	Average :471,064
18.level	 Min Weight: 470,950 	Average :471,056
19.level	 Min Weight: 470,950 	Average :471,047
20.level	 Min Weight: 470,510 	Average :471,021
21.level	 Min Weight: 470,950 	Average :470,994
22.level	 Min Weight: 470,950 	Average :470,968
23.level	 Min Weight: 470,950 	Average :470,954
24.level	 Min Weight: 470,950 	Average :470,950
25.level	 Min Weight: 470,950 	Average :470,950
26.level	 Min Weight: 470,950 	Average :470,950
27.level	 Min Weight: 470,950 	Average :470,950
28.level	 Min Weight: 470,950 	Average :470,950
29.level	 Min Weight: 470,950 	Average :470,950
30.level	 Min Weight: 470,950 	Average :470,950
31.level	 Min Weight: 470,470 	Average :470,948
32.level	 Min Weight: 470,470 	Average :470,948
33.level	 Min Weight: 470,470 	Average :470,948
34.level	 Min Weight: 470,470 	Average :470,948
35.level	 Min Weight: 470,950 	Average :470,950
36.level	 Min Weight: 470,950 	Average :470,950
37.level	 Min Weight: 470,950 	Average :470,950
38.level	 Min Weight: 470,950 	Average :470,950
39.level	 Min Weight: 470,950 	Average :470,950
40.level	 Min Weight: 470,950 	Average :470,951
41.level	 Min Weight: 470,950 	Average :470,950
42.level	 Min Weight: 470,950 	Average :470,950
43.level	 Min Weight: 470,950 	Average :470,950
44.level	 Min Weight: 470,950 	Average :470,950
45.level	 Min Weight: 470,950 	Average :470,950
46.level	 Min Weight: 470,950 	Average :470,950
47.level	 Min Weight: 470,950 	Average :470,950
48.level	 Min Weight: 470,950 	Average :470,950
49.level	 Min Weight: 470,950 	Average :470,950
50.level	 Min Weight: 470,950 	Average :470,950
51.level	 Min Weight: 470,950 	Average :470,950
52.level	 Min Weight: 470,950 	Average :470,950
53.level	 Min Weight: 470,890 	Average :470,950
54.level	 Min Weight: 470,950 	Average :470,951
55.level	 Min Weight: 470,950 	Average :470,950
56.level	 Min Weight: 470,950 	Average :470,951
57.level	 Min Weight: 470,950 	Average :470,950
58.level	 Min Weight: 470,950 	Average :470,950
59.level	 Min Weight: 470,950 	Average :470,950
60.level	 Min Weight: 470,950 	Average :470,950
61.level	 Min Weight: 470,950 	Average :470,952
62.level	 Min Weight: 470,950 	Average :470,950
63.level	 Min Weight: 470,950 	Average :470,950
64.level	 Min Weight: 470,950 	Average :470,950
65.level	 Min Weight: 470,950 	Average :470,950
66.level	 Min Weight: 470,950 	Average :470,950
67.level	 Min Weight: 470,950 	Average :470,950
68.level	 Min Weight: 470,950 	Average :470,950
69.level	 Min Weight: 470,950 	Average :470,950
70.level	 Min Weight: 470,950 	Average :470,950
71.level	 Min Weight: 470,950 	Average :470,950
72.level	 Min Weight: 470,950 	Average :470,950
73.level	 Min Weight: 470,950 	Average :470,950
74.level	 Min Weight: 470,950 	Average :470,950
75.level	 Min Weight: 470,950 	Average :470,950
76.level	 Min Weight: 470,950 	Average :470,951
77.level	 Min Weight: 470,450 	Average :470,947
78.level	 Min Weight: 470,450 	Average :470,945
79.level	 Min Weight: 470,450 	Average :470,932
80.level	 Min Weight: 470,450 	Average :470,917
81.level	 Min Weight: 470,450 	Average :470,902
82.level	 Min Weight: 470,450 	Average :470,840
83.level	 Min Weight: 470,450 	Average :470,743
84.level	 Min Weight: 470,450 	Average :470,640
85.level	 Min Weight: 470,450 	Average :470,510
86.level	 Min Weight: 470,450 	Average :470,455
87.level	 Min Weight: 470,450 	Average :470,453
88.level	 Min Weight: 470,450 	Average :470,450
89.level	 Min Weight: 470,450 	Average :470,450
90.level	 Min Weight: 470,450 	Average :470,450
91.level	 Min Weight: 470,450 	Average :470,450
92.level	 Min Weight: 470,450 	Average :470,451
93.level	 Min Weight: 470,450 	Average :470,450
94.level	 Min Weight: 469,930 	Average :470,447
95.level	 Min Weight: 469,930 	Average :470,447
96.level	 Min Weight: 469,930 	Average :470,442
97.level	 Min Weight: 469,930 	Average :470,447
98.level	 Min Weight: 469,930 	Average :470,443
99.level	 Min Weight: 469,930 	Average :470,428
100.level	 Min Weight: 469,930 	Average :470,411
101.level	 Min Weight: 469,930 	Average :470,364
102.level	 Min Weight: 469,450 	Average :470,273
103.level	 Min Weight: 469,450 	Average :470,149
104.level	 Min Weight: 469,450 	Average :470,056
105.level	 Min Weight: 469,450 	Average :469,946
